line,h,n,mae_total,mae_company_only,macro_share_of_mae
rev,1,10,0.2289892327174343,0.21065355890850934,0.08007220947174665
rev,3,8,0.33520117926824494,0.5304013570487605,0.0
rev,5,6,0.49375869021482155,1.1806684595651182,0.0
np,1,6,0.8054195990877075,0.6445546944199093,0.19972807323041142
pc_rev,1,8,0.36028317356044925,0.313411565363358,0.13009657857148582
pc_rev,3,3,0.26895805123984196,0.42519919991162003,0.0
pc_u,1,3,0.2958296208156987,0.15500529891913117,0.4760318507263369
