line,h,n,bias,mae,ci5,ci95,over_share,era_signs,skill_vs_freeze,skill_vs_trend
inv,4,7,0.36604502453701226,0.9802614290354232,-0.5174918961390066,0.9892624297933449,0.7142857142857143,E1+E2-E3-,-0.2564633080660679,0.1344260089326067
inv,5,6,0.5807468085057929,0.8911499030140976,-0.32207942565028186,1.1807058234244794,0.6666666666666666,E1+E2-,-0.1356092430438185,0.3031359691573675
m3w_rev,1,10,0.06014506227674347,0.5748013614112966,-0.3150986197489717,0.3485811752653983,0.4,E1+E2-E3+E4-,-0.07997574164408872,0.060582300817290324
m3w_rev,2,9,0.23069806999171497,0.8552957660727857,-0.36184610678401696,0.7627911728254985,0.6666666666666666,E1+E2+E3+,-0.31724424925403905,-0.014406015510491255
m3w_rev,3,8,0.7295027723200034,0.7794317210119305,0.38629786586064513,1.220683403839173,0.875,E1+E2+E3+,-0.5048644813833774,-0.32216415460316417
m3w_rev,4,7,1.1354392663937423,1.1354392663937423,0.6912652243147077,1.7090024151993704,1.0,E1+E2+E3+,-0.7832409427977216,-0.40631829360533933
m3w_rev,5,6,1.4011962847243822,1.4011962847243822,0.851609104164284,2.088553691725481,1.0,E1+E2+,-1.1102835094259818,-0.39110476166759534
m3w_u,1,10,0.00425211906586061,0.6328295164360236,-0.4252006507632081,0.33116767970103683,0.5,E1+E2-E3+E4-,-0.26208012160201366,0.0
m3w_u,2,9,0.16843879249329147,0.8954248631680433,-0.44573592880625196,0.7806420030336835,0.5555555555555556,E1+E2+E3+,-0.2709874230813165,0.0
m3w_u,3,8,0.5922426788554144,0.7342251571599171,-0.05958011045660557,1.4232638781731672,0.75,E1-E2+E3+,-0.07226234083812577,0.0
m3w_u,4,7,0.8551628880396135,1.0944701859268722,0.14755656082099491,1.69096950748642,0.7142857142857143,E1+E2+E3+,-0.11825365109095154,2.220446049250313e-16
m3w_u,5,6,0.9172451277992495,1.0343665188992697,0.3892549744463955,1.6806209504400649,0.8333333333333334,E1+E2+,-0.06999858557105942,2.220446049250313e-16
np,1,6,-0.6354313920150777,0.8054195990877075,-0.8641085749892805,-0.4096050421691166,0.3333333333333333,E2-E3-E4-,0.22479920299136547,0.3260211748277826
np,2,5,-1.0162120656514775,1.20898225162941,-1.5019177355224196,-0.2787654814645206,0.4,E2-E3-,-0.0006220517141319881,0.32811164705305784
np,3,3,0.33840368907442425,0.33840368907442425,0.16733707989417065,0.33840368907442425,1.0,E2+E3+,0.5627178601517282,0.8370405752976207
op,1,10,-0.33341632099688745,0.5111681717321954,-0.7346898218427682,-0.08270364802817778,0.3,E1-E2-E3-E4-,-0.43747892826132895,-0.35584323713431165
op,2,8,-0.5393204806681501,0.6652817245521864,-1.1111909449119677,-0.13126066829813207,0.375,E1-E2-E3-,-0.47980336843966453,-0.9967691690159584
op,3,6,-0.15447572284168337,0.38671790255505534,-0.28424775439260963,0.04802808878704401,0.3333333333333333,E1-E2-E3-,0.4397919697775641,0.20224525263067583
op,4,5,-0.05360830317604073,0.27734927754421435,-0.11103636231990052,0.07316819850245973,0.4,E1-E2-E3-,0.6771793857978985,0.3508714754521941
op,5,4,-0.10139263110268146,0.5998652001698567,-0.35502587784990214,0.2570272898962276,0.5,E1-E2-,0.4990596836271447,0.19781120524713303
pay,1,10,-0.1406757629575437,0.3599092709217521,-0.4171282595275806,0.12005204400112768,0.5,E1+E2-E3-E4+,0.03364263334415385,0.04444432560833167
pay,2,9,-0.1792136248212833,0.46753205619732396,-0.6855232143954252,0.15889991220740324,0.4444444444444444,E1+E2-E3-,0.07324172964568176,-0.18750340891391226
pay,3,8,-0.17882581288893595,0.4489862397149823,-0.7352376406521863,0.18656935655276927,0.5,E1+E2-E3-,0.3736655683133864,-0.06108709381065003
pay,4,7,-0.088761342027115,0.54241953497203,-0.6761117142157244,0.26687321193361047,0.5714285714285714,E1+E2-E3-,0.4112622840159168,0.08818858450883205
pay,5,6,0.0006590157164132864,0.4627933273461278,-0.5565415477961609,0.33927071109483026,0.5,E1+E2-,0.6103739194733344,0.35813246728026327
pbt,1,6,-0.6395820939724705,0.8069850046825883,-0.8866711603526248,-0.413043570405179,0.3333333333333333,E2-E3-E4-,0.15818344759689795,0.2666670425001785
pbt,2,5,-0.9965516419194308,1.1930913446650924,-1.4990660590603062,-0.2947128785579499,0.4,E2-E3-,-0.05851195837959633,0.2973697229990564
pbt,3,3,0.3279096373327166,0.3279096373327166,0.15410685102075716,0.32790963733271666,1.0,E2+E3+,0.5061527355775863,0.826624909344905
pc_rev,1,8,-0.09726195762801801,0.36028317356044925,-0.3040767333770429,0.09023613824541053,0.5,E1-E2-E3-E4-,0.1608645765577139,0.19043269846940358
pc_rev,2,5,-0.13936253259815448,0.39944703030903755,-0.643050555250027,0.15791945059479146,0.4,E1+E2+E3-,0.29346140894773975,0.342134814476871
pc_rev,3,3,0.04803746925676719,0.26895805123984196,0.01639692621048371,0.27758564652398215,0.3333333333333333,E1-E2+,-0.5336886574601178,-0.0805963189739638
pc_u,1,3,0.035937675596683545,0.2958296208156987,-0.004787006483003804,0.28715665114747213,0.3333333333333333,E2-E3+,0.009700601273149534,0.156400724921123
rec,1,10,-0.06494338922352168,0.4486354692778554,-0.31727177728468875,0.2935598981986596,0.2,E1-E2-E3+E4-,0.0063111847632004725,-0.07118784439357162
rec,2,9,-0.04002347688388196,0.5434644796364829,-0.4353103499158333,0.49183955570776866,0.3333333333333333,E1-E2+E3+,0.2816185713513807,0.26396276508070005
rec,3,8,0.06389230745548041,0.6758771095810712,-0.35592773234319797,0.6599350028245938,0.375,E1-E2+E3+,0.20349377578278094,0.23570850198366144
rec,4,7,0.18741249900967108,0.6700782770682224,-0.24435774652976794,0.7794556592617569,0.7142857142857143,E1-E2+E3+,0.04515226033469566,0.24351821255367445
rec,5,6,0.31789216849020363,0.5140835276343394,0.09467393354317917,0.7355898383984356,0.8333333333333334,E1+E2+,0.20713213012865972,0.4777409010020294
resid_rev,1,8,-0.10657084970859228,0.45175153303460525,-0.3367875618964754,0.2225715512172091,0.5,E1-E2+E3-E4+,,
resid_rev,2,5,0.26526186130216645,0.5051496616263792,0.181983309961052,0.5942142756186807,0.6,E1-E2+E3+,,
resid_rev,3,3,0.6481218249589938,0.6481218249589938,0.6481218249589938,1.0120230412114626,1.0,E1+E2+,,
rev,1,10,-0.043668025278516806,0.2289892327174343,-0.20662609821639039,0.0822670156458793,0.5,E1-E2+E3-E4-,0.0005186741092256808,-0.07875616889224402
rev,2,9,-0.03682529833732689,0.3117627254352853,-0.34181498533357907,0.20596190917207646,0.5555555555555556,E1+E2+E3-,0.21019063516411318,0.007126741723333385
rev,3,8,0.08288738637440952,0.33520117926824494,-0.20920301146505305,0.33706232526983027,0.625,E1+E2+E3-,0.25759066996159763,-0.03323857545793629
rev,4,7,0.2539195583106005,0.42485139493305807,-0.021493226472817546,0.45559938517128495,0.5714285714285714,E1+E2+E3-,0.2080717735912735,0.04948428866592636
rev,5,6,0.4206288954550429,0.49375869021482155,0.23973382995243422,0.4962115378647647,0.6666666666666666,E1+E2+,0.2535151744104207,-0.32343478010654403
sga,1,10,-0.05925697776448214,0.15020155260194737,-0.10293258416420217,-0.014492312334513846,0.3,E1-E2-E3-E4-,0.3742247431770067,-0.14859767763958742
sga,2,9,-0.09519284914357196,0.15781826734886534,-0.17613016031623813,-0.029016464818804148,0.4444444444444444,E1-E2-E3-,0.5803972055986881,0.12352836883700546
sga,3,8,-0.09876782129040045,0.1573674477144541,-0.18008695176000628,-0.0030745919815651796,0.375,E1-E2+E3-,0.7118293712946597,0.07836846951605092
sga,4,7,-0.10502986633880744,0.2752334697625942,-0.22853153914578275,0.04919495781187674,0.2857142857142857,E1-E2+E3-,0.6347508783917505,-0.38991258673717444
sga,5,6,-0.06883901794079755,0.25984515685530624,-0.2089511238770536,0.09181192417685907,0.5,E1-E2+,0.7276760840089521,-0.3028824874588574
