line,h,n,bias,mae,ci5,ci95,over_share,era_signs,skill_vs_freeze,skill_vs_trend
capex,1,9,0.24951522218284772,0.6049926203280869,-0.1859132976360518,0.8079888499303534,0.5555555555555556,E1-E2+E3-E4-,,
capex,2,8,0.37977663808168405,0.7963754486140092,-0.2572530305005438,1.1525803692937469,0.625,E1+E2+E3-,,
capex,3,7,0.5872648669937256,1.0778496227639318,-0.08999816424742473,1.4167400901026992,0.7142857142857143,E1+E2+E3-,,
capex,4,6,0.9923749874444767,1.1820896609884106,0.37527585087051096,1.5167999907786813,0.8333333333333334,E1+E2+E3-,,
capex,5,5,1.2563366859096505,1.2563366859096505,0.5167875450296975,1.7568351131343765,1.0,E1+E2+,,
cv_rev,1,10,0.04893081364958378,0.4137425226380038,-0.2298989248933216,0.23817779558954535,0.6,E1+E2+E3-E4+,-0.23198546763318095,-0.10544504755897033
cv_rev,2,9,0.026825922561024413,0.702487251826699,-0.6376823641348115,0.46214089775597766,0.4444444444444444,E1+E2+E3-,-0.24681197805025223,-0.08164958165920622
cv_rev,3,8,0.1086075299831565,0.9417757454388707,-0.8935015485815863,0.7574362170682825,0.625,E1+E2+E3-,-0.6905914879228994,-0.13627234974090774
cv_rev,4,7,0.26009686069255195,1.3306799348733667,-0.9698430162502897,1.0344966127303477,0.7142857142857143,E1+E2-E3-,-1.4156151648648563,-0.18297005496094942
cv_rev,5,6,0.5982098435266543,1.3442744998140728,-0.6290534428832303,1.1060457659162803,0.8333333333333334,E1+E2-,-0.9770775975661352,-0.09820810401807845
cv_u,1,8,-0.13704055516790242,0.5021181969019705,-0.3272355736492283,0.07034078793201355,0.375,E1-E2+E3-E4-,-0.13738313303476501,0.0
cv_u,2,8,-0.1071179188582641,0.6350416827925843,-0.5067117969149484,0.12557706983967207,0.5,E1+E2-E3-,-0.2771694653393433,0.0
cv_u,3,7,-0.06520113033272439,0.4175834197961602,-0.482031015472636,0.15227458073645744,0.42857142857142855,E1+E2+E3-,-0.5024421736486333,0.0
cv_u,4,6,-0.1903198148780048,0.8992751987145137,-0.7886979424863796,0.05383106363998147,0.3333333333333333,E1-E2+E3-,-1.1033615796382068,0.0
cv_u,5,5,-0.040041003048969806,1.1706245835238234,-0.8095434485319029,0.27873875513742535,0.6,E1+E2-,-1.001266443556394,-2.220446049250313e-16
da,1,9,0.13042279063862144,0.13963519229616347,0.0435120973817861,0.20904291657970792,0.7777777777777778,E1+E2+E3-E4+,,
da,2,8,0.27631401826474905,0.3472386597251529,0.027189615046388317,0.5384038480358361,0.875,E1+E2+E3-,,
da,3,7,0.46820351180951564,0.6120253890484825,0.10278231172064077,0.7964626469867693,0.8571428571428571,E1+E2+E3-,,
da,4,6,0.6881503182834676,0.7712830205734671,0.43595981842904724,1.0211793418708535,0.8333333333333334,E1+E2+E3-,,
da,5,5,0.9249335823064286,0.9249335823064286,0.6095544358849763,1.1256521975636535,1.0,E1+E2+,,
fin,1,10,-0.053949639128818644,0.5237566474000964,-0.32916202387176463,0.31664072456934206,0.6,E1+E2+E3-E4-,-0.19181006165708459,-0.19181006165708459
fin,2,9,0.05080728105368458,0.8445846284379933,-0.6520291892008646,0.7563077932420473,0.4444444444444444,E1+E2+E3-,-0.2874197019357412,-0.2874197019357412
fin,3,8,0.13939753133955937,1.2617238418719923,-1.1173075691320657,1.1662055301415297,0.5,E1+E2-E3-,-0.4606597467686122,-0.4606597467686122
fin,4,7,0.49188668108655165,1.3025263850922044,-0.8482767239656853,1.6005162873780208,0.7142857142857143,E1+E2-E3-,-0.3606295709052665,-0.3606295709052665
fin,5,6,0.9888851315497146,1.4054484717970344,-0.28361011534944913,1.9383825081249224,0.8333333333333334,E1+E2-,-0.650507347768756,-0.650507347768756
fin_rev,1,8,-0.15965721019981968,0.17207937287065309,-0.30739417982025335,-0.04703845201190957,0.125,E1-E2+E3-E4-,0.3236741896001383,-0.2433842142037208
fin_rev,2,5,-0.33315756975233896,0.3761165659395939,-0.6365844329993704,-0.055501877382013544,0.4,E1-E2+E3-,-0.03153819806373037,0.16541939034082476
fin_rev,3,3,-0.3167590918244504,0.4021936643280587,-0.31675909182445044,-0.061353259059057,0.3333333333333333,E1-E2+,0.2633957621748092,0.5386978627747512
gp,1,10,-0.1997565840098357,0.29912835148291167,-0.33521272750387954,-0.09148114964086729,0.2,E1-E2-E3-E4-,-0.14068853343861631,-0.43109026044098275
gp,2,9,-0.3921572230491458,0.4323356080516194,-0.7404543762063817,-0.13717789726506438,0.1111111111111111,E1-E2-E3-,-0.07572829646798773,-0.9683361854814201
gp,3,7,-0.3682286629035573,0.4604909444283107,-0.6722667448166371,-0.03792721781077331,0.2857142857142857,E1-E2+E3-,0.19115193459284696,-0.7553912262562867
gp,4,5,-0.04920943678299489,0.20799052577060925,-0.09918444287158132,0.10712360543041347,0.6,E1-E2+E3-,0.7193431307367992,-0.0061839561455176995
gp,5,4,-0.04823441136305529,0.2949311223827039,-0.20533268270849853,0.20317841220806188,0.5,E1-E2-,0.7135801925395454,-0.11636652493396693
inv,1,10,-0.07235400801614357,0.5009770962274595,-0.5129090890070657,0.3295009305285795,0.6,E1+E2+E3-E4-,-0.1660245979822137,-0.1462703249816517
inv,2,9,-0.013910175285713538,0.6853429481577846,-0.792865002348088,0.5402713444611394,0.6666666666666666,E1+E2+E3-,-0.36877620384597765,-0.12152794649821974
inv,3,8,0.12196954954580602,0.8001768488032295,-0.7420567384161868,0.7876896805235066,0.75,E1+E2+E3-,-0.20932967242885137,0.05562870523318664
