origin,fy,h,line,forecast,actual,log_err,scaled_err,freeze_err,trend_err,crosses_B4,log_err_realized_macro
2019,2020,2,m3w_u,122661.69839576805,112366,0.08766874587544606,,0.13151808272332322,0.08766874587544606,0,0.08766874587544606
2019,2021,3,m3w_u,120001.648243262,137252,-0.134313174184235,,-0.06853916891241929,-0.134313174184235,0,-0.134313174184235
2019,2022,4,m3w_u,117399.2841240197,59100,0.6863498852122424,,0.7740485589079966,0.6863498852122424,0,0.6863498852122424
2019,2023,5,m3w_u,114853.35505469765,13610,2.1328513245369813,,2.2424746666566744,2.132851324536982,1,2.1328513245369813
2019,2019,1,cv_u,2132.461995779457,2096,0.017246412326218288,,0.06555184343093783,0.017246412326218288,0,0.017246412326218288
2019,2020,2,cv_u,2031.9008773206904,1152,0.5674721854065949,,0.664083047616034,0.5674721854065949,0,0.5674721854065949
2019,2021,3,cv_u,1936.081948202551,1576,0.20577632513988753,,0.3506926184540461,0.20577632513988733,0,0.20577632513988753
2019,2022,4,cv_u,1844.7815796499515,2005,-0.08328317528767722,,0.109938549131201,-0.08328317528767734,0,-0.08328317528767722
2019,2023,5,cv_u,1757.7866886137242,943,0.6227444507148152,,0.864271606238413,0.6227444507148152,1,0.6227444507148152
2019,2019,1,inv,7256.956200189657,3788.21,0.6500668727388724,,0.24105208552848548,0.40465476556081964,0,0.5430541664563334
2019,2020,2,inv,8458.273456373117,3367.987,0.9208298331041526,,0.35863046102650364,0.685835821091172,0,0.6678747618762986
2019,2021,3,inv,10032.724768215214,4203.342,0.8699723037541995,,0.13706577437938958,0.627873814476392,0,0.4627972202345419
2019,2022,4,inv,12119.857209465034,3920.044,1.1287423209453198,,0.20684281931247958,0.8612535394418162,0,0.8592795259224438
2019,2023,5,inv,14915.135878554966,6366.072,0.8513938892392141,,-0.27803694133911566,0.539976458822555,1,1.4384159469444018
2019,2019,1,rec,4762.524410752837,6435.527,-0.30105586751962427,,-0.33339093220829913,0.009240873862403364,0,-0.36970665803247743
2019,2020,2,rec,5333.682626990933,7106.385,-0.2869517517098117,,-0.4325508743293371,0.252712737812068,0,-0.4616243802315683
2019,2021,3,rec,6066.196825009076,10239.476,-0.5235185904386015,,-0.7978076450586347,0.23008777315347317,0,-0.8103940059555087
