origin,fy,h,np_forecast,np_actual_reported,np_actual_ex_oneoff,log_err_reported,log_err_ex_oneoff
2016,2016,1,191.3610851214405,-989.8100000000001,-989.8100000000001,,
2016,2017,2,94.11733969930513,-723.655,-723.655,,
2016,2018,3,-48.95413897865717,636.734,636.734,,
2016,2019,4,-239.1746156185245,223.556,223.556,,
2016,2020,5,-435.5372710095387,1116.061,1116.061,,
2017,2017,1,-1471.72085924086,-723.655,-723.655,,
2017,2018,2,-2259.507057832934,636.734,636.734,,
2017,2019,3,-3535.7294038210694,223.556,223.556,,
2017,2020,4,-5142.406886627005,1116.061,1116.061,,
2017,2021,5,-6994.16390829231,1846.864,1846.864,,
2018,2018,1,-1569.6055632903494,636.734,636.734,,
2018,2019,2,-3063.8569537456747,223.556,223.556,,
2018,2020,3,-5051.37770037632,1116.061,1116.061,,
2018,2021,4,-7775.794104195905,1846.864,1846.864,,
2018,2022,5,-11533.393829306195,10538.098,2330.7890000000007,,
2019,2019,1,-353.19499032916315,223.556,223.556,,
2019,2020,2,-1960.6478629131734,1116.061,1116.061,,
2019,2021,3,-4195.307032239569,1846.864,1846.864,,
2019,2022,4,-7422.047777826467,10538.098,2330.7890000000007,,
2019,2023,5,-12129.750249410143,1811.528,2333.5280000000002,,
2020,2020,1,477.6501325230037,1116.061,1116.061,-0.8486822767817793,-0.8486822767817793
2020,2021,2,316.16942549946606,1846.864,1846.864,-1.7649661180197846,-1.7649661180197846
2020,2022,3,-30.44821065839824,10538.098,2330.7890000000007,,
2020,2023,4,-792.9264404216437,1811.528,2333.5280000000002,,
2020,2024,5,-2028.719304322497,3059.893,3059.893,,
2021,2021,1,1853.6892907589538,1846.864,1846.864,0.003688798923902588,0.003688798923902588
2021,2022,2,2495.9158436466373,10538.098,2330.7890000000007,-1.4403413379701682,0.06844889658504104
2021,2023,3,3322.8886169407,1811.528,2333.5280000000002,0.6066637819472442,0.35345318450587526
2021,2024,4,4407.485831341935,3059.893,3059.893,0.3649244725820552,0.3649244725820552
2021,2025,5,5826.874032046504,2780.455,2780.455,0.7398660865750312,0.7398660865750312
2022,2022,1,2224.542440832172,10538.098,2330.7890000000007,-1.555445821520561,-0.0466555869653519
2022,2023,2,2732.5797895395062,1811.528,2333.5280000000002,0.41107545280238605,0.15786485536101713
2022,2024,3,3359.6738554690637,3059.893,3059.893,0.09346395440648333,0.09346395440648333
2022,2025,4,4126.278304787433,2780.455,2780.455,0.3947612804747214,0.3947612804747214
2023,2023,1,3005.5077146300923,1811.528,2333.5280000000002,0.5062758222939872,0.2530652248526182
2023,2024,2,3284.550998251685,3059.893,3059.893,0.07085001214244524,0.07085001214244524
2023,2025,3,3810.261851651303,2780.455,2780.455,0.3150833308695452,0.3150833308695452
2024,2024,1,1067.9515224868328,3059.893,3059.893,-1.0526375994547852,-1.0526375994547852
2024,2025,2,263.1413986473273,2780.455,2780.455,-2.3576783372122656,-2.3576783372122656
2025,2025,1,1169.7935822572829,2780.455,2780.455,-0.86578727555123,-0.86578727555123
