param,value,line,h,mae
PASS_PRICE,0.25,rev,1,0.228060293366427
PASS_PRICE,0.25,np,1,1.068200989250559
PASS_PRICE,0.25,gp,1,0.492540397986924
PASS_PRICE,0.25,sga,1,0.15110029449094942
PASS_PRICE,0.75,rev,1,0.22989038414295454
PASS_PRICE,0.75,np,1,0.5701956924700353
PASS_PRICE,0.75,gp,1,0.20733720529553112
PASS_PRICE,0.75,sga,1,0.14930502547733757
PASS_COST,0.5,rev,1,0.2289892327174343
PASS_COST,0.5,np,1,0.566377572329827
PASS_COST,0.5,gp,1,0.20643605387001085
PASS_COST,0.5,sga,1,0.15020155260194737
PASS_COST,1.0,rev,1,0.2289892327174343
PASS_COST,1.0,np,1,1.4637754317538145
PASS_COST,1.0,gp,1,0.46040398097394347
PASS_COST,1.0,sga,1,0.15020155260194737
PHI_SGA,0.3,rev,1,0.2289892327174343
PHI_SGA,0.3,np,1,0.8012121837425861
PHI_SGA,0.3,gp,1,0.29912835148291167
PHI_SGA,0.3,sga,1,0.159349542475506
PHI_SGA,0.7,rev,1,0.2289892327174343
PHI_SGA,0.7,np,1,0.822375043767158
PHI_SGA,0.7,gp,1,0.29912835148291167
PHI_SGA,0.7,sga,1,0.1411655720104972
