origin,spot,realized,crps,crps_bench,wink,wink_bench,pit,in50,in80,in90,p5,p25,p50,p75,p95,anchor_vol,drift_daily
2022-01-25,4.77,3.88,0.819901742598819,0.5581377354664849,3.7786026866917863,2.9006355782632345,0.095125,False,False,True,3.593042531626807,4.484889742155781,5.129886807584546,5.869221763090064,7.371645218318593,0.48833572363599326,0.0011797317977787517
2022-04-20,3.88,2.9,0.6888651547328617,0.6261237869438077,3.3781761266826154,2.924693260655468,0.093,False,False,True,2.63877949989688,3.398838163713169,3.9478535047897134,4.5898342292524505,6.016955626579495,0.5413459781733421,0.00031318473799189924
2022-08-01,2.9,3.43,0.36123135913890553,0.30973778024476856,2.5745447048827486,2.6163621615167205,0.78925,False,True,True,1.8098888259376396,2.3863756731812873,2.8073768554571457,3.3152487394226235,4.384433530820388,0.5833952598271805,-0.000502382369698279
2022-10-25,3.43,5.47,1.5282142675243355,1.4235257567918609,9.352139690456832,5.136512650570916,0.96575,False,False,False,2.2938121213396276,2.9374495887893426,3.400841404835414,3.9435784429803458,5.144949904642291,0.5323340860110728,-5.239949159074028e-05
2023-01-19,5.47,5.35,0.36955933409181596,0.37225292250233866,5.163907802340175,5.231719030986473,0.37175,True,True,True,3.7773771882740035,4.949806827092611,5.760847631413039,6.7321911600523565,8.941284990614179,0.576326400742445,0.000887325157912231
2023-04-18,5.35,6.36,0.48537644837162486,0.5931351542071721,5.039517556687201,5.001482260253672,0.71775,True,True,True,3.5568295211626864,4.769915889853639,5.590568084520299,6.512263445430082,8.596347077849888,0.572525746742596,0.0007526437918395373
2023-07-27,6.36,5.88,0.562581892313289,0.4187419717647869,5.879778973656466,5.0532906311185775,0.269875,True,True,True,4.378430031743822,5.8004997762573,6.7234986320930235,7.847239655076396,10.258209005400287,0.5530730432783207,0.0009587295804423491
2023-10-23,5.88,9.43,2.3058861874812275,2.692226023909967,5.678484426508746,23.84415615126967,0.94525,False,False,True,3.892914149727552,5.228989415241177,6.126397848244739,7.20337200626018,9.571398576236298,0.596775121317863,0.0007587363594599429
2024-01-17,9.43,11.7,0.9170954079282674,1.337659558767606,8.53762799453701,7.163324425633801,0.7355,True,True,True,6.8050115506861495,8.830451555277408,10.176136406263794,11.82640381509349,15.34263954522316,0.5388333364861693,0.0013355135934697187
2024-04-17,11.7,13.63,0.8694097135946723,1.1983759499169626,12.676291100189871,9.972198662589562,0.6005,True,True,True,7.89713093755988,10.767903324614391,12.811752221975109,15.190771911320768,20.57342203774975,0.6259281088192483,0.0015049660054074201
2024-07-24,13.63,14.5,0.9019635690153693,1.0209377833893525,14.430780137438028,13.552123039339385,0.44425,True,True,True,9.396763445216145,12.707104627178058,14.97269558556442,17.689354716523773,23.827543582654172,0.6074480678993482,0.0015775083816635662
2024-10-21,14.5,16.26,0.8624253181881119,1.2748130920567755,13.31631439060946,14.522951902916406,0.5425,True,True,True,10.588699769258582,13.691155547800285,15.873128621766119,18.459771129303093,23.905014159868042,0.5462279726004473,0.0015418832738573417
2025-01-15,16.26,23.0,3.1172315140255478,4.11411239162816,14.456566240997756,15.290337092449235,0.875125,False,True,True,12.03149186999946,15.556639429361313,17.95517821139454,20.677884530597005,26.488058110997216,0.5161876022066568,0.0015643796598386636
2025-04-15,23.0,23.41,1.822235713240346,1.3531558034446052,24.468417629964026,19.36223236037123,0.353,True,True,True,16.38329727486568,21.81158957699023,25.59824584150651,30.294041185404367,40.851714904829706,0.6043699071094146,0.001807575171587861
2025-07-22,23.41,23.9,1.62827215892698,1.164015323770339,20.834083720015062,16.22308675328629,0.349125,True,True,True,17.508500843872607,22.417239008187174,25.899673148191198,30.015367187833494,38.34258456388767,0.5185551157561094,0.0017250429491136774
2025-10-19,23.9,28.0,1.3250098233380236,2.414538466773371,17.52538203601625,15.519140278414078,0.630625,True,True,True,19.13413908257088,23.456382532516727,26.503302759536098,29.780214411868204,36.65952111858713,0.43813929569944166,0.0016536745012583542
2026-01-13,28.0,26.16,3.052384201975685,1.4563491265782638,25.366851354115493,17.31624113850036,0.213875,False,True,True,20.61967752871649,26.926299249205986,31.045359853285095,35.833419699898,45.98652888283198,0.5230310830780558,0.0017021216989323194
