market,ticker,year,n,market_sessions,density,liveness,median_px,solo_market,edge_year
AE,ADCB,2011,247,252,0.9801587301587301,0.9676113360323887,2.85,False,True
AE,ADCB,2012,246,253,0.9723320158102767,0.9146341463414634,3.2,False,False
AE,ADCB,2013,245,249,0.9839357429718876,0.9959183673469387,4.98,False,False
AE,ADCB,2014,250,251,0.9960159362549801,0.996,7.81,False,False
AE,ADCB,2015,247,251,0.9840637450199203,1.0,7.45,False,False
AE,ADCB,2016,244,249,0.9799196787148594,0.9918032786885246,6.34,False,False
AE,ADCB,2017,246,250,0.984,0.9959349593495935,7.19,False,False
AE,ADCB,2018,247,251,0.9840637450199203,0.9838056680161943,7.22,False,False
AE,ADCB,2019,246,249,0.9879518072289156,1.0,8.5,False,False
AE,ADCB,2020,249,251,0.9920318725099602,0.9919678714859438,5.55,False,False
AE,ADCB,2021,247,249,0.9919678714859438,0.9959514170040485,6.67,False,False
AE,ADCB,2022,248,252,0.9841269841269841,1.0,8.81,False,False
AE,ADCB,2023,247,251,0.9840637450199203,1.0,8.41,False,False
AE,ADCB,2024,249,252,0.9880952380952381,0.9959839357429718,8.62,False,False
AE,ADCB,2025,252,252,1.0,0.9880952380952381,13.47,False,False
AE,ADCB,2026,157,162,0.9691358024691358,0.9872611464968153,14.48,False,True
AE,ADIB,2011,250,252,0.9920634920634921,0.952,2.3055000000000003,False,True
AE,ADIB,2012,246,253,0.9723320158102767,0.9227642276422764,2.302,False,False
AE,ADIB,2013,247,249,0.9919678714859438,0.97165991902834,3.294,False,False
AE,ADIB,2014,251,251,1.0,1.0,5.878,False,False
AE,ADIB,2015,249,251,0.9920318725099602,0.9919678714859438,4.638,False,False
AE,ADIB,2016,247,249,0.9919678714859438,0.9959514170040485,3.505,False,False
AE,ADIB,2017,249,250,0.996,0.9598393574297188,3.505,False,False
AE,ADIB,2018,251,251,1.0,0.9561752988047809,3.674,False,False
AE,ADIB,2019,248,249,0.9959839357429718,1.0,4.8100000000000005,False,False
AE,ADIB,2020,251,251,1.0,0.9960159362549801,4.11,False,False
AE,ADIB,2021,248,249,0.9959839357429718,1.0,5.495,False,False
AE,ADIB,2022,248,252,0.9841269841269841,1.0,8.93,False,False
AE,ADIB,2023,247,251,0.9840637450199203,1.0,10.44,False,False
AE,ADIB,2024,250,252,0.9920634920634921,1.0,12.0,False,False
AE,ADIB,2025,252,252,1.0,0.996031746031746,20.229999999999997,False,False
AE,ADIB,2026,157,162,0.9691358024691358,0.9681528662420382,21.68,False,True
AE,ADNOCDIST,2017,12,250,0.048,1.0,2.64,False,True
AE,ADNOCDIST,2018,250,251,0.9960159362549801,0.948,2.45,False,False
AE,ADNOCDIST,2019,248,249,0.9959839357429718,0.9516129032258065,2.65,False,False
AE,ADNOCDIST,2020,251,251,1.0,0.9920318725099602,3.08,False,False
AE,ADNOCDIST,2021,249,249,1.0,1.0,4.3,False,False
AE,ADNOCDIST,2022,250,252,0.9920634920634921,1.0,4.2,False,False
AE,ADNOCDIST,2023,251,251,1.0,1.0,3.97,False,False
AE,ADNOCDIST,2024,252,252,1.0,1.0,3.56,False,False
AE,ADNOCDIST,2025,252,252,1.0,1.0,3.63,False,False
AE,ADNOCDIST,2026,147,162,0.9074074074074074,1.0,3.9,False,True
AE,ADNOCDRILL,2021,61,249,0.24497991967871485,1.0,3.25,False,True
AE,ADNOCDRILL,2022,252,252,1.0,1.0,3.43,False,False
AE,ADNOCDRILL,2023,251,251,1.0,1.0,3.76,False,False
AE,ADNOCDRILL,2024,252,252,1.0,1.0,4.29,False,False
AE,ADNOCDRILL,2025,252,252,1.0,1.0,5.48,False,False
AE,ADNOCDRILL,2026,147,162,0.9074074074074074,1.0,5.42,False,True
AE,ADNOCGAS,2023,200,251,0.796812749003984,1.0,3.23,False,True
AE,ADNOCGAS,2024,251,252,0.996031746031746,1.0,3.14,False,False
AE,ADNOCGAS,2025,252,252,1.0,1.0,3.37,False,False
AE,ADNOCGAS,2026,157,162,0.9691358024691358,1.0,3.36,False,True
AE,ADNOCLS,2023,144,251,0.5737051792828686,1.0,3.61,False,True
AE,ADNOCLS,2024,252,252,1.0,1.0,4.255,False,False
AE,ADNOCLS,2025,252,252,1.0,1.0,5.275,False,False
AE,ADNOCLS,2026,147,162,0.9074074074074074,0.9931972789115646,5.7,False,True
AE,AGTHIA,2011,246,252,0.9761904761904762,0.8292682926829268,1.96,False,True
AE,AGTHIA,2012,240,253,0.9486166007905138,0.7083333333333334,2.0,False,False
AE,AGTHIA,2013,245,249,0.9839357429718876,0.8612244897959184,3.19,False,False
AE,AGTHIA,2014,248,251,0.9880478087649402,0.9717741935483871,5.65,False,False
AE,AGTHIA,2015,248,251,0.9880478087649402,0.9596774193548387,7.5,False,False
AE,AGTHIA,2016,245,249,0.9839357429718876,0.9551020408163265,7.11,False,False
AE,AGTHIA,2017,244,250,0.976,0.9385245901639344,5.5,False,False
AE,AGTHIA,2018,248,251,0.9880478087649402,0.9435483870967742,4.405,False,False
AE,AGTHIA,2019,235,249,0.9437751004016064,0.8595744680851064,3.6,False,False
AE,AGTHIA,2020,231,251,0.9203187250996016,0.8874458874458875,3.14,False,False
AE,AGTHIA,2021,249,249,1.0,0.9959839357429718,6.07,False,False
AE,AGTHIA,2022,250,252,0.9920634920634921,1.0,4.8,False,False
AE,AGTHIA,2023,250,251,0.9960159362549801,0.992,4.805,False,False
AE,AGTHIA,2024,251,252,0.996031746031746,1.0,6.07,False,False
AE,AGTHIA,2025,252,252,1.0,1.0,4.2,False,False
AE,AGTHIA,2026,157,162,0.9691358024691358,1.0,3.61,False,True
AE,AIRARABIA,2011,251,252,0.996031746031746,1.0,0.685,False,True
AE,AIRARABIA,2012,253,253,1.0,1.0,0.656,False,False
AE,AIRARABIA,2013,249,249,1.0,1.0,1.14,False,False
AE,AIRARABIA,2014,251,251,1.0,1.0,1.4,False,False
AE,AIRARABIA,2015,251,251,1.0,1.0,1.57,False,False
AE,AIRARABIA,2016,249,249,1.0,0.9959839357429718,1.3,False,False
AE,AIRARABIA,2017,250,250,1.0,0.984,1.13,False,False
AE,AIRARABIA,2018,251,251,1.0,0.9960159362549801,1.06,False,False
AE,AIRARABIA,2019,249,249,1.0,0.9839357429718876,1.07,False,False
AE,AIRARABIA,2020,251,251,1.0,0.9920318725099602,1.15,False,False
AE,AIRARABIA,2021,249,249,1.0,0.9919678714859438,1.36,False,False
AE,AIRARABIA,2022,252,252,1.0,1.0,2.05,False,False
AE,AIRARABIA,2023,251,251,1.0,1.0,2.48,False,False
AE,AIRARABIA,2024,252,252,1.0,1.0,2.7350000000000003,False,False
AE,AIRARABIA,2025,252,252,1.0,1.0,3.565,False,False
AE,AIRARABIA,2026,147,162,0.9074074074074074,0.9727891156462585,5.14,False,True
AE,ALDAR,2011,252,252,1.0,0.996031746031746,1.29,False,True
AE,ALDAR,2012,252,253,0.9960474308300395,0.996031746031746,1.18,False,False
AE,ALDAR,2013,248,249,0.9959839357429718,1.0,2.245,False,False
AE,ALDAR,2014,251,251,1.0,1.0,3.54,False,False
AE,ALDAR,2015,251,251,1.0,1.0,2.52,False,False
AE,ALDAR,2016,249,249,1.0,1.0,2.65,False,False
AE,ALDAR,2017,250,250,1.0,1.0,2.32,False,False
AE,ALDAR,2018,251,251,1.0,1.0,2.05,False,False
AE,ALDAR,2019,249,249,1.0,1.0,1.93,False,False
