origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u,crps_n,crps_b_n
2022-04-05,2708,61,57,2022-07-05,2.89,2.61,0.2470736979737846,0.0,0.02211716199690204,0.27574897833462025,0.2377710313882634,0.22581333371269247,0.17208652916052758,0.1727440943444678,2.628861318152002,2.1774545337177607,0.2987,True,True,True,0.9096405945162637,0.7534444753348652,0.022205210491714533,-0.4497693646434436,0.08227371328313611,0.07813610163068943
2022-07-05,2765,61,61,2022-10-05,2.61,3.01,-0.6908981507951457,0.0,0.026652433764564557,0.2665297051354203,0.21566441720103868,0.21056840906863383,0.1660746806853679,0.1651486782471172,2.322559225298403,2.0437327457595504,0.6934,True,True,True,0.8898694349802311,0.7830393661913987,0.02599641326791735,0.43498875145159316,0.08263004490461252,0.08067755136729265
2022-10-05,2826,61,64,2023-01-05,3.01,5.22,-0.16255300558243355,0.0,0.026652433764564557,0.2544928760620944,1.623369532337682,1.699341719323397,1.0599113245032008,1.0681771884016145,14.098855842793721,19.572123508679198,0.9771,False,False,False,0.8601818181232767,0.7123670293157198,0.02995925282179357,2.058623005389626,0.539325426025808,0.5645653552569426
2023-01-05,2890,60,62,2023-04-05,5.22,5.45,0.5461614771220592,0.0,0.03764321461984358,0.26101526838469286,0.29394407931498523,0.28026802489836067,0.017330751035268488,0.021295311904609537,4.645367615516856,4.0393680962743925,0.5119,True,True,True,0.8899171677235358,0.7738253057996921,0.037421168185721054,0.02097575438649318,0.05631112630555273,0.0536911925092645
2023-04-05,2952,61,53,2023-07-05,5.45,7.16,0.427671482731551,0.0,0.041907710345987746,0.27341520308022016,0.8695461892389752,0.866421643464475,0.7347941473396018,0.7451621319473798,5.128210818840282,4.567497308351305,0.82795,False,True,True,0.9409561135486756,0.8380729006149183,0.04411223950840304,0.844820110034782,0.15954975949338995,0.1589764483421055
2023-07-05,3005,60,63,2023-10-08,7.16,7.43,1.0429918492501897,0.0,0.041907710345987746,0.25053446231244136,0.39274605373564153,0.3970241718171921,0.01002118735767965,0.023458160820045926,6.164277378514673,5.6632938703215014,0.49475,True,True,True,0.8609325947646191,0.790962831050489,0.040508711552424526,-0.0195255875927109,0.054852800801067254,0.05545030332642347
2023-10-08,3068,61,64,2024-01-08,7.43,10.47,0.9961018621708639,0.0,0.04401298594508981,0.28855636512191324,1.6293081905877613,1.7000142157577898,1.328323032305462,1.3491525646272828,7.2163232756001054,6.191369019736727,0.8736,False,True,True,0.9712413560700007,0.8332932731812553,0.05159541526097944,1.0361066895244986,0.21928777800642818,0.22880406672379405
2024-01-08,3132,60,64,2024-04-08,10.47,8.53,0.5110478163665875,0.0,0.04401298594508981,0.23887464690526913,1.546681265975493,1.4812181275480218,1.202948223480118,1.1855775958480326,8.497920981244386,8.781221872710372,0.1194,False,True,True,0.8116447928600177,0.8387031397049065,0.04449822798092029,-1.042126707664666,0.14772504928132693,0.14147260052989702
2024-04-08,3196,61,52,2024-07-08,8.53,7.46,-0.7595584230834477,0.0,0.06024586736063519,0.28261525883390304,0.9919564258304621,1.0111526507017066,0.7863919207164938,0.805319336163953,8.322242839339133,8.047757065066815,0.2152,False,True,True,0.9756439436505432,0.9434650721063089,0.05894300602965874,-0.6874356871252105,0.11629031955808466,0.11854075623701132
2024-07-08,3248,60,62,2024-10-08,7.46,8.24,-0.25598163155932147,0.0,0.06024586736063519,0.2489188639424169,0.4344093513123628,0.5053479788044366,0.16134392718984358,0.1465913201893816,6.4860806027095315,7.062899121661488,0.57415,True,True,True,0.8694478019717871,0.9467693192575721,0.061301896195752326,0.15747726678578985,0.05823181652980735,0.0677410159255277
