origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u,crps_n,crps_b_n
2022-01-26,2771,61,64,2022-04-26,1.41,2.03,-0.6897454611334931,0.0,0.0003247889329050125,0.14167579741124822,0.4959874305172064,0.5139328697359362,0.3095673626302029,0.30978574641410095,5.792809718885254,6.753373299347572,0.9905,False,False,False,0.4570005311213798,0.40203510079904897,0.0006136700280809926,2.5701023490537627,0.3517641351185861,0.3644913969758413
2022-04-26,2835,62,59,2022-07-26,2.03,2.15,3.3984691382055354,0.0,0.0009481995596740592,0.16485623333362126,0.09005038899610723,0.08288429867606986,0.0595827595272147,0.05900158921443821,1.0874127576664696,0.9023320195206137,0.6483,True,True,True,0.5356713091953053,0.4444985317835536,0.00041107435742393506,0.3426248943338078,0.044359797535028195,0.04082970378131521
2022-07-26,2894,62,66,2022-10-26,2.15,2.03,0.05307443200524621,0.0,0.0040421452903959265,0.15608972900805737,0.09388881931131393,0.09734418520309149,0.06364978877781491,0.06487183784922257,1.0830985212290438,1.0850894646665223,0.33255,True,True,True,0.5037667540600204,0.5046927742634988,0.0033951523514557103,-0.3938388180115179,0.04366921828433206,0.04527636521074023
2022-10-26,2960,64,64,2023-01-26,2.03,2.22,-0.16121533481662273,0.0,0.007705035584971566,0.13793987244022157,0.1058177888783991,0.11258153314861064,0.08810295092954767,0.08896782534798486,0.9158493213723637,1.0720100379032014,0.7449,True,True,True,0.45115730116865216,0.5280837625138923,0.006795122236898932,0.5927681807952628,0.0521269895952705,0.05545888332443874
2023-01-26,3024,62,62,2023-04-26,2.22,2.14,-0.1046563549789586,0.0,0.010716975056793952,0.1440646505151761,0.08465292695658422,0.09114484327584182,0.05117527396606092,0.05448750932442503,1.0638891954707967,1.0957916988054974,0.36215,True,True,True,0.4792293673291877,0.4935998643268006,0.010067814383838636,-0.3291462668854136,0.03813194907954244,0.04105623570983866
2023-04-26,3086,63,60,2023-07-26,2.14,2.69,0.18526155567039462,0.0,0.011911663366838259,0.14551211958397137,0.3521154376046557,0.3575196716114414,0.260197783454972,0.2620740272475657,1.0293139170570724,0.950023731829067,0.9366,False,False,True,0.4809878117089123,0.4439363232846107,0.01383384723834391,1.4900731419009112,0.16453992411432508,0.16706526710815017
2023-07-26,3146,64,65,2023-10-26,2.69,2.59,1.5548133073602448,0.0,0.012506873399912041,0.14748442676995438,0.1057444054324164,0.09547806596358657,0.0664300987457862,0.06828055957678636,1.3012791932745018,1.018241127177832,0.3511,True,True,True,0.48374691199795605,0.37852830006610855,0.012215686799841086,-0.3416644889620233,0.0393101878930916,0.035493704819177165
2023-10-26,3211,63,64,2024-01-26,2.59,2.93,-0.8393069432710804,0.0,0.013100669698262088,0.16341768775767676,0.1813517834961773,0.18069124802306702,0.15156376830958895,0.15328620683091132,1.3959296732974984,1.0094464095116433,0.7707,False,True,True,0.53896898582915,0.38974764846009397,0.014236472347807894,0.6746141077625717,0.07001999362786769,0.0697649606266668
2024-01-26,3275,63,60,2024-04-26,2.93,2.67,1.003418855640035,0.0,0.013100669698262088,0.13846522208097214,0.18083124010841675,0.1814810134250478,0.14736589666560507,0.15022122859478548,1.326909058600148,1.0850446463690142,0.20265,False,True,True,0.45286998587035765,0.3703224049041004,0.01185385437925257,-0.7657129979763333,0.06171714679468148,0.06193891243175693
2024-04-26,3335,61,63,2024-07-26,2.67,2.65,-1.7755675618658977,0.0,0.013100669698262088,0.13436396523406552,0.08324183856079342,0.07004942196670658,0.02999940866375095,0.02572104023143318,1.178030972506916,0.9409625826471677,0.42515,True,True,True,0.4412101020625154,0.35242044293901414,0.014980830459738526,-0.15346005959536635,0.031176718562094915,0.02623573856430958
