Date,Price
2011-01-02,22.92
2011-01-03,22.79
2011-01-04,22.89
2011-01-05,23.08
2011-01-06,23.3
2011-01-10,23.36
2011-01-11,23.36
2011-01-12,23.4
2011-01-13,23.96
2011-01-16,23.56
2011-01-17,23.16
2011-01-18,22.88
2011-01-19,22.72
2011-01-20,23.06
2011-01-24,23.04
2011-01-26,22.77
2011-01-27,22.64
2011-03-24,20.45
2011-03-27,20.93
2011-03-28,22.0
2011-03-29,22.07
2011-03-30,22.15
2011-03-31,21.99
2011-04-03,23.11
2011-04-04,23.03
2011-04-05,22.33
2011-04-06,22.77
2011-04-07,23.45
2011-04-10,23.46
2011-04-11,23.36
2011-04-12,23.04
2011-04-13,23.08
2011-04-14,22.47
2011-04-17,22.74
2011-04-18,22.46
2011-04-19,22.47
2011-04-20,23.38
2011-04-21,23.38
2011-04-26,23.36
2011-04-27,23.29
2011-04-28,23.36
2011-05-02,23.44
2011-05-03,22.27
2011-05-04,22.34
2011-05-05,22.21
2011-05-08,22.31
2011-05-09,22.37
2011-05-10,22.41
2011-05-11,22.68
2011-05-12,23.0
2011-05-15,23.29
2011-05-16,23.4
2011-05-17,23.4
2011-05-18,23.4
2011-05-19,23.53
2011-05-22,23.38
2011-05-23,23.39
2011-05-24,23.53
2011-05-25,23.56
2011-05-26,23.7
2011-05-29,23.69
2011-05-30,23.69
2011-05-31,23.49
2011-06-01,23.75
2011-06-02,23.66
2011-06-05,23.79
2011-06-06,23.63
2011-06-07,23.67
2011-06-08,24.0
2011-06-09,24.0
2011-06-12,24.24
2011-06-13,24.3
2011-06-14,24.57
2011-06-16,24.25
2011-06-19,24.0
2011-06-20,24.0
2011-06-21,23.93
2011-06-23,23.92
2011-06-26,23.92
2011-06-27,23.54
2011-06-28,23.39
2011-06-30,23.52
2011-07-04,23.15
2011-07-05,23.03
2011-07-06,23.0
2011-07-07,22.77
2011-07-10,22.21
2011-07-11,22.21
2011-07-12,22.15
2011-07-13,22.15
2011-07-14,22.15
2011-07-17,22.15
2011-07-19,22.28
2011-07-20,22.28
2011-07-21,22.31
2011-07-25,22.31
2011-07-26,22.31
2011-07-27,22.3
2011-07-31,22.31
2011-08-01,22.37
2011-08-02,22.47
2011-08-03,22.47
2011-08-04,22.49
2011-08-07,22.46
2011-08-08,22.26
2011-08-09,20.39
2011-08-10,21.17
