Date,Price
2011-08-11,20.91
2011-08-14,21.01
2011-08-15,21.51
2011-08-16,21.25
2011-08-17,21.53
2011-08-18,21.55
2011-08-21,20.64
2011-08-23,20.92
2011-08-25,20.93
2011-08-29,20.92
2011-09-04,21.54
2011-09-05,21.54
2011-09-11,21.24
2011-09-12,21.54
2011-09-13,21.09
2011-09-14,20.84
2011-09-15,21.11
2011-09-18,20.98
2011-09-19,20.92
2011-09-20,20.84
2011-09-22,20.66
2011-09-25,20.5
2011-09-26,20.23
2011-09-27,20.31
2011-09-28,19.69
2011-09-29,19.69
2011-10-02,19.73
2011-10-03,19.99
2011-10-04,19.4
2011-10-05,19.38
2011-10-09,20.49
2011-10-11,20.5
2011-10-12,20.92
2011-10-13,20.92
2011-10-16,19.7
2011-10-17,20.0
2011-10-18,19.82
2011-10-19,19.75
2011-10-20,20.31
2011-10-24,20.39
2011-10-25,20.01
2011-10-27,20.22
2011-10-30,20.32
2011-10-31,20.91
2011-11-01,20.91
2011-11-02,20.92
2011-11-03,20.94
2011-11-09,21.23
2011-11-10,21.33
2011-11-13,20.84
2011-11-14,20.42
2011-11-15,20.37
2011-11-16,20.44
2011-11-17,20.31
2011-11-20,19.8
2011-11-22,19.69
2011-11-24,19.69
2011-11-29,19.5
2011-11-30,20.31
2011-12-01,20.42
2011-12-04,20.31
2011-12-05,20.31
2011-12-06,21.03
2011-12-07,20.35
2011-12-08,20.46
2011-12-11,21.07
2011-12-12,20.46
2011-12-13,20.32
2011-12-15,20.31
2011-12-20,20.28
2011-12-21,20.31
2011-12-26,20.31
2011-12-27,19.78
2011-12-28,19.83
2011-12-29,20.92
2012-01-03,20.3
2012-01-04,20.31
2012-01-05,21.21
2012-01-09,19.97
2012-01-10,20.65
2012-01-12,20.92
2012-01-15,20.92
2012-01-17,20.92
2012-01-18,20.31
2012-01-23,20.32
2012-01-24,20.31
2012-01-26,20.69
2012-01-29,20.61
2012-01-30,20.61
2012-01-31,20.91
2012-02-01,20.93
2012-02-02,20.59
2012-02-06,20.61
2012-02-08,20.61
2012-02-09,20.61
2012-02-13,21.46
2012-02-14,20.77
2012-02-15,21.18
2012-02-16,21.22
2012-02-19,20.61
2012-02-20,20.61
2012-02-21,20.61
2012-02-22,20.63
2012-02-23,20.63
2012-02-27,21.22
2012-02-28,21.23
2012-02-29,21.01
2012-03-01,20.61
2012-03-04,20.68
2012-03-05,20.69
2012-03-06,20.64
2012-03-07,20.74
2012-03-08,21.22
2012-03-11,21.46
2012-03-12,20.41
2012-03-13,20.92
2012-03-14,20.92
2012-03-20,20.63
2012-03-21,20.92
2012-03-25,21.22
2012-03-26,20.92
2012-03-27,20.92
2012-03-28,20.92
2012-03-29,21.22
2012-04-01,21.19
2012-04-02,21.23
2012-04-03,21.33
2012-04-04,20.92
2012-04-05,20.92
2012-04-09,20.53
2012-04-10,20.61
2012-04-11,20.64
2012-04-12,20.62
2012-04-17,20.92
2012-04-18,20.61
2012-04-19,20.92
2012-04-22,20.92
2012-04-24,20.86
2012-04-26,20.86
2012-04-29,20.62
2012-04-30,20.62
2012-05-02,20.86
2012-05-03,20.86
2012-05-06,20.86
2012-05-07,20.87
2012-05-08,20.93
2012-05-10,20.92
2012-05-13,20.92
2012-05-14,20.92
2012-05-17,21.24
2012-05-20,20.92
2012-05-21,20.93
2012-05-22,20.81
2012-05-23,20.69
2012-05-24,21.19
2012-05-27,20.97
2012-05-28,19.08
2012-05-29,18.59
2012-05-30,19.08
2012-05-31,19.08
2012-06-03,18.46
2012-06-04,18.46
2012-06-06,19.08
2012-06-07,19.51
2012-06-12,18.77
2012-06-14,18.92
2012-06-18,18.82
2012-06-19,19.35
2012-06-20,19.08
2012-06-21,19.08
2012-06-24,19.08
2012-06-25,19.67
2012-06-26,19.69
2012-06-27,19.38
2012-06-28,19.58
2012-07-02,19.69
2012-07-03,19.69
2012-07-05,19.69
2012-07-08,19.49
2012-07-09,19.14
2012-07-11,19.28
2012-07-12,19.36
2012-07-15,19.69
2012-07-16,19.68
2012-07-18,19.68
2012-07-19,19.72
2012-07-26,19.69
2012-07-31,20.28
2012-08-02,20.31
2012-08-05,20.31
2012-08-06,20.59
2012-08-08,20.92
2012-08-09,20.31
2012-08-13,20.31
2012-08-16,20.92
2012-08-21,20.92
2012-08-22,20.92
2012-08-23,20.88
2012-08-26,21.38
2012-08-27,20.61
2012-08-28,21.24
2012-08-29,21.41
2012-08-30,21.44
2012-09-03,21.13
2012-09-04,21.53
2012-09-06,21.53
2012-09-10,21.54
2012-09-11,21.54
2012-09-12,21.78
2012-09-13,21.86
2012-09-17,21.54
2012-09-18,21.54
2012-09-19,22.46
2012-09-24,22.43
2012-09-25,22.77
2012-09-26,22.61
2012-09-27,22.68
2012-10-01,22.62
2012-10-02,22.5
2012-10-09,22.15
2012-10-10,22.46
2012-10-15,22.52
2012-10-16,23.39
2012-10-17,23.38
2012-10-18,23.33
2012-10-21,23.38
2012-10-22,23.38
2012-10-23,23.99
2012-10-24,24.58
2012-10-29,24.58
2012-10-30,24.39
2012-10-31,24.39
2012-11-01,24.0
2012-11-04,24.0
2012-11-05,24.0
2012-11-06,24.11
2012-11-07,24.61
2012-11-08,24.56
2012-11-14,24.56
2012-11-18,24.61
2012-11-19,24.61
2012-11-20,24.66
2012-11-21,24.61
2012-11-25,22.38
2012-11-26,21.11
2012-11-27,23.12
2012-11-28,23.12
2012-11-29,24.31
2012-12-02,24.31
2012-12-03,23.38
2012-12-04,24.61
2012-12-05,24.58
2012-12-06,22.85
2012-12-09,24.15
2012-12-10,24.49
2012-12-11,24.59
2012-12-13,24.8
2012-12-17,24.61
2012-12-18,24.61
2012-12-20,24.61
2012-12-23,24.61
2012-12-24,24.61
2012-12-25,24.91
2012-12-27,24.61
2012-12-30,24.61
2012-12-31,24.61
2013-01-02,24.76
2013-01-03,24.61
2013-01-06,24.61
2013-01-08,24.61
2013-01-09,24.63
2013-01-10,24.61
2013-01-13,24.61
2013-01-14,24.61
2013-01-17,24.61
2013-01-21,24.61
2013-01-22,24.74
2013-01-23,24.74
2013-01-30,24.71
2013-01-31,24.62
2013-02-03,24.61
2013-02-04,24.67
2013-02-05,24.68
2013-02-07,25.21
2013-02-10,25.21
2013-02-11,25.19
2013-02-12,25.59
2013-02-13,25.73
2013-02-14,25.84
2013-02-17,25.84
2013-02-18,25.85
2013-02-19,25.84
2013-02-20,25.84
2013-02-21,25.84
2013-02-24,25.85
2013-02-25,25.84
2013-02-27,25.84
2013-02-28,25.84
2013-03-03,25.86
2013-03-04,25.85
2013-03-05,25.84
2013-03-06,25.84
2013-03-07,25.84
2013-03-10,25.85
2013-03-11,26.15
2013-03-14,26.15
2013-03-17,26.15
2013-03-18,26.15
2013-03-19,26.16
2013-03-21,26.45
2013-03-24,26.74
2013-03-25,26.77
2013-03-27,26.71
2013-03-31,26.71
2013-04-03,26.46
2013-04-04,26.46
2013-04-07,26.48
2013-04-10,25.91
2013-04-11,26.86
2013-04-14,26.86
2013-04-15,26.71
2013-04-16,25.97
2013-04-17,25.97
2013-04-18,27.04
2013-04-21,26.47
2013-04-22,26.51
2013-04-23,26.8
2013-04-24,27.07
2013-04-28,25.84
2013-04-29,25.54
2013-04-30,25.77
2013-05-02,24.92
2013-05-12,24.92
2013-05-14,25.84
2013-05-15,25.84
2013-05-19,25.84
2013-05-20,26.45
2013-05-21,26.46
2013-05-22,26.45
2013-05-23,26.23
2013-05-26,25.86
2013-05-28,25.86
2013-05-29,26.5
2013-05-30,26.59
2013-06-02,27.07
2013-06-03,27.07
2013-06-04,27.07
2013-06-05,26.71
2013-06-06,27.07
2013-06-09,27.07
2013-06-16,27.07
2013-06-18,27.07
2013-06-19,26.56
2013-06-20,26.77
2013-06-23,26.15
2013-06-24,26.16
2013-06-25,25.84
2013-06-26,25.84
2013-06-27,26.0
2013-07-02,26.91
2013-07-07,24.61
2013-07-08,24.56
2013-07-09,24.64
2013-07-10,25.84
2013-07-11,26.16
2013-07-18,26.16
2013-07-22,26.16
2013-07-24,26.16
2013-07-25,25.95
2013-07-28,25.97
2013-07-30,26.22
2013-07-31,26.23
2013-08-06,26.26
2013-08-13,26.26
2013-08-20,25.84
2013-08-21,26.46
2013-08-22,25.84
2013-08-25,25.29
2013-08-26,25.66
2013-08-28,25.84
2013-08-29,25.76
2013-09-02,25.54
2013-09-03,25.43
2013-09-04,25.54
2013-09-05,25.52
2013-09-10,25.54
2013-09-11,25.54
2013-09-12,25.37
2013-09-15,25.23
2013-09-16,25.23
2013-09-17,25.22
2013-09-18,25.22
2013-09-23,24.96
2013-09-24,24.89
2013-09-25,24.77
2013-09-26,24.82
2013-09-29,24.67
2013-09-30,24.64
2013-10-01,25.23
2013-10-03,24.92
2013-10-07,25.23
2013-10-08,25.22
2013-10-09,25.54
2013-10-10,26.46
2013-10-13,26.46
2013-10-20,26.47
2013-10-21,26.75
2013-10-28,26.46
2013-10-29,26.15
2013-10-30,25.84
2013-10-31,26.42
2013-11-03,25.61
2013-11-04,26.45
2013-11-06,26.98
2013-11-07,26.77
2013-11-10,26.46
2013-11-14,26.77
2013-11-17,25.54
2013-11-18,26.46
2013-11-19,26.46
2013-11-20,26.53
2013-11-21,26.53
2013-11-26,26.53
2013-11-27,26.47
2013-11-28,26.49
2013-12-01,26.77
2013-12-02,26.77
2013-12-04,26.77
2013-12-05,26.45
2013-12-09,26.45
2013-12-10,26.42
2013-12-11,27.06
2013-12-15,25.99
2013-12-16,26.03
2013-12-17,26.02
2013-12-19,26.13
2013-12-22,25.91
2013-12-23,26.03
2013-12-24,26.46
2013-12-25,26.47
2013-12-26,26.63
2013-12-31,26.53
2014-01-06,26.46
2014-01-09,26.47
2014-01-12,26.47
2014-01-14,26.84
2014-01-15,27.07
2014-01-16,27.07
2014-01-19,27.06
2014-01-20,27.38
2014-01-21,27.18
2014-01-22,27.17
2014-01-23,27.07
2014-01-26,27.07
2014-01-27,27.07
2014-01-28,27.07
2014-01-29,26.99
2014-01-30,27.68
2014-02-02,27.69
2014-02-04,27.69
2014-02-05,27.69
2014-02-06,27.69
2014-02-10,27.69
2014-02-12,28.34
2014-02-17,28.46
2014-02-18,29.54
2014-02-19,29.54
2014-02-20,29.51
2014-02-23,29.51
2014-02-24,29.54
2014-02-26,28.45
2014-02-27,29.54
2014-03-02,29.49
2014-03-03,29.49
2014-03-05,28.87
2014-03-06,28.92
2014-03-09,28.92
2014-03-10,28.92
2014-03-11,29.23
2014-03-12,29.23
2014-03-13,29.54
2014-03-17,28.96
2014-03-18,29.49
2014-03-19,29.54
2014-03-20,29.54
2014-03-23,29.84
2014-03-27,30.16
2014-03-30,30.16
2014-03-31,30.16
2014-04-01,30.16
2014-04-02,30.48
2014-04-06,28.49
2014-04-07,30.64
2014-04-08,30.77
2014-04-09,31.07
2014-04-10,31.99
2014-04-13,32.0
2014-04-14,31.99
2014-04-15,32.0
2014-04-16,32.0
2014-04-17,30.77
2014-04-22,32.0
2014-04-23,32.0
2014-04-27,32.56
2014-04-29,31.47
2014-04-30,31.4
2014-05-04,31.38
2014-05-05,31.38
2014-05-06,31.38
2014-05-08,30.92
2014-05-12,29.54
2014-05-13,29.26
2014-05-14,29.26
2014-05-15,29.26
2014-05-19,29.54
2014-05-20,29.54
2014-05-21,31.22
2014-05-25,29.23
2014-05-26,28.26
2014-05-28,28.26
2014-05-29,29.67
2014-06-03,28.64
2014-06-04,29.54
2014-06-05,30.58
2014-06-09,30.34
2014-06-10,30.46
2014-06-11,30.46
2014-06-12,30.56
2014-06-15,30.56
2014-06-16,30.46
2014-06-18,29.86
2014-06-19,29.84
2014-06-24,29.84
2014-06-25,29.93
2014-06-29,30.58
2014-06-30,31.27
2014-07-02,31.27
2014-07-03,30.77
2014-07-07,30.77
2014-07-08,31.37
2014-07-09,31.38
2014-07-10,32.39
2014-07-13,32.31
2014-07-14,32.61
2014-07-16,32.31
2014-07-17,33.22
2014-07-21,32.92
2014-07-24,33.79
2014-07-31,33.23
2014-08-03,33.23
2014-08-04,33.23
2014-08-05,33.84
2014-08-06,32.31
2014-08-07,35.06
2014-08-10,33.84
2014-08-11,34.02
2014-08-12,33.55
2014-08-13,33.89
2014-08-14,35.07
2014-08-17,33.33
2014-08-18,34.46
2014-08-19,33.86
2014-08-20,35.13
2014-08-21,36.93
2014-08-24,35.54
2014-08-25,35.69
2014-08-26,37.69
2014-08-27,37.31
2014-09-01,37.31
2014-09-02,37.33
2014-09-03,37.46
2014-09-04,37.84
2014-09-07,38.69
2014-09-08,39.28
2014-09-09,39.36
2014-09-10,39.38
2014-09-11,39.38
2014-09-14,39.69
2014-09-15,39.69
2014-09-16,39.71
2014-09-17,39.69
2014-09-18,39.69
2014-09-22,38.17
2014-09-23,37.93
2014-09-24,37.83
2014-09-25,37.09
2014-10-02,38.4
2014-10-08,38.78
2014-10-09,38.8
2014-10-13,39.97
2014-10-14,39.97
2014-10-16,39.97
2014-10-19,40.0
2014-10-21,40.0
2014-10-22,40.27
2014-10-23,41.2
2014-10-28,41.2
2014-10-29,41.9
2014-10-30,42.43
2014-11-03,43.07
2014-11-04,44.12
2014-11-06,43.15
2014-11-10,43.07
2014-11-11,43.25
2014-11-12,43.69
2014-11-13,43.69
2014-11-16,43.69
2014-11-17,43.69
2014-11-18,43.69
2014-11-19,43.72
2014-11-20,44.29
2014-11-23,44.26
2014-11-24,44.35
2014-11-25,44.41
2014-11-27,44.58
2014-12-01,44.56
2014-12-02,44.92
2014-12-03,46.51
2014-12-04,46.51
2014-12-07,47.11
2014-12-08,47.11
2014-12-09,47.11
2014-12-10,47.38
2014-12-11,47.41
2014-12-15,46.5
2014-12-16,46.77
2014-12-17,47.38
2014-12-18,47.38
2014-12-21,47.38
2014-12-23,47.69
2014-12-24,48.0
2014-12-25,47.89
2014-12-29,48.0
2014-12-30,48.15
2014-12-31,48.3
2015-01-04,48.61
2015-01-05,48.61
2015-01-06,49.2
2015-01-08,49.21
2015-01-12,49.23
2015-01-13,49.21
2015-01-14,49.21
2015-01-15,48.0
2015-01-18,48.5
2015-01-19,48.0
2015-01-20,48.15
2015-01-26,48.0
2015-01-27,48.0
2015-01-28,48.0
2015-02-02,48.25
2015-02-03,48.61
2015-02-04,48.61
2015-02-05,48.61
2015-02-12,48.61
2015-02-15,49.65
2015-02-17,49.65
2015-02-22,49.65
2015-02-23,49.65
2015-02-24,49.75
2015-02-25,49.53
2015-03-02,51.07
2015-03-03,51.08
2015-03-04,51.07
2015-03-05,51.69
2015-03-08,51.34
2015-03-09,52.3
2015-03-10,52.28
2015-03-11,52.3
2015-03-12,52.3
2015-03-18,52.3
2015-03-19,51.57
2015-03-23,51.57
2015-03-24,50.15
2015-03-25,50.46
2015-03-26,50.29
2015-03-30,50.28
2015-03-31,50.26
2015-04-05,50.46
2015-04-06,50.37
2015-04-07,50.32
2015-04-08,50.3
2015-04-09,49.85
2015-04-14,49.85
2015-04-15,49.84
2015-04-16,49.85
2015-04-19,49.85
2015-04-21,50.15
2015-04-22,50.16
2015-04-23,51.07
2015-04-26,51.07
2015-04-28,49.28
2015-04-29,48.61
2015-04-30,49.53
2015-05-03,49.18
2015-05-04,49.84
2015-05-05,49.39
2015-05-06,49.23
2015-05-07,49.23
2015-05-12,51.75
2015-05-14,50.77
2015-05-18,50.77
2015-05-19,50.69
2015-05-20,50.46
2015-05-25,49.23
2015-05-26,49.23
2015-05-27,49.23
2015-05-28,49.23
2015-05-31,49.23
2015-06-01,49.84
2015-06-02,50.64
2015-06-03,50.46
2015-06-07,50.46
2015-06-08,50.46
2015-06-10,50.46
2015-06-11,50.69
2015-06-17,50.46
2015-06-22,50.46
2015-06-23,50.46
2015-06-24,50.86
2015-06-25,50.64
2015-06-29,52.28
2015-07-07,51.1
2015-07-09,51.38
2015-07-13,49.93
2015-07-14,50.77
2015-07-16,51.65
2015-07-21,51.65
2015-07-27,51.69
2015-07-28,52.38
2015-07-29,52.91
2015-07-30,52.89
2015-08-04,53.53
2015-08-05,53.54
2015-08-10,53.69
2015-08-11,53.84
2015-08-12,54.17
2015-08-13,54.26
2015-08-16,52.88
2015-08-17,53.53
2015-08-30,49.72
2015-08-31,49.72
2015-09-01,50.46
2015-09-02,50.47
2015-09-03,50.46
2015-09-06,50.46
2015-09-07,49.77
2015-09-08,49.77
2015-09-09,50.45
2015-09-10,50.45
2015-09-14,49.84
2015-09-15,49.53
2015-09-16,49.84
2015-09-20,48.61
2015-09-21,48.61
2015-09-22,48.61
2015-09-28,48.61
2015-09-29,48.61
2015-09-30,48.62
2015-10-01,48.62
2015-10-04,48.61
2015-10-08,48.61
2015-10-11,48.61
2015-10-13,48.61
2015-10-15,48.61
2015-10-18,48.61
2015-10-19,48.61
2015-10-20,48.61
2015-10-21,48.61
2015-10-22,48.61
2015-10-27,48.09
2015-10-28,47.07
2015-11-03,48.29
2015-11-05,48.28
2015-11-09,48.28
2015-11-11,48.28
2015-11-12,48.14
2015-11-15,43.5
2015-11-16,46.08
2015-11-17,45.53
2015-11-18,45.13
2015-11-19,45.92
2015-11-23,44.3
2015-11-24,44.3
2015-11-30,41.84
2015-12-01,41.84
2015-12-02,43.07
2015-12-03,42.0
2015-12-07,41.84
2015-12-09,41.23
2015-12-10,40.0
2015-12-13,40.0
2015-12-14,39.64
2015-12-17,41.22
2015-12-21,39.84
2015-12-22,41.23
2015-12-24,42.46
2015-12-27,43.07
2015-12-28,43.06
2015-12-29,43.06
2015-12-30,43.07
2015-12-31,43.97
2016-01-03,43.38
2016-01-04,43.38
2016-01-05,43.07
2016-01-06,43.07
2016-01-10,44.0
2016-01-11,44.0
2016-01-13,44.0
2016-01-17,42.46
2016-01-18,42.46
2016-01-19,42.46
2016-01-20,40.76
2016-01-26,39.38
2016-01-28,40.61
2016-02-01,40.0
2016-02-02,39.95
2016-02-03,40.0
2016-02-04,40.0
2016-02-09,39.99
2016-02-22,41.15
2016-02-23,40.0
2016-02-29,38.52
2016-03-01,38.46
2016-03-02,38.46
2016-03-03,38.46
2016-03-08,38.15
2016-03-09,36.92
2016-03-13,36.09
2016-03-14,37.49
2016-03-15,36.91
2016-03-16,36.81
2016-03-17,36.26
2016-03-20,36.26
2016-03-21,36.26
2016-03-23,36.91
2016-03-24,36.88
2016-03-28,36.92
2016-03-31,36.92
2016-04-04,36.92
2016-04-05,36.92
2016-04-06,36.92
2016-04-07,36.92
2016-04-10,37.51
2016-04-11,37.84
2016-04-12,37.85
2016-04-13,38.13
2016-04-14,39.33
2016-04-17,39.68
2016-04-18,40.0
2016-04-19,40.61
2016-04-20,40.98
2016-04-21,41.36
2016-04-24,40.03
2016-04-26,40.03
2016-04-27,38.04
2016-04-28,41.01
2016-05-03,40.62
2016-05-04,40.3
2016-05-05,40.42
2016-05-09,40.31
2016-05-11,40.06
2016-05-12,41.25
2016-05-17,42.48
2016-05-18,41.22
2016-05-19,41.23
2016-05-22,44.91
2016-05-24,44.91
2016-05-25,43.77
2016-05-26,44.97
2016-05-29,46.5
2016-05-30,47.94
2016-05-31,46.78
2016-06-01,46.77
2016-06-06,46.15
2016-06-07,46.77
2016-06-12,46.77
2016-06-13,46.77
2016-06-20,44.92
2016-06-21,44.92
2016-06-22,44.92
2016-06-23,44.92
2016-06-28,44.92
2016-06-29,47.85
2016-07-14,47.85
2016-07-18,46.15
2016-07-19,45.68
2016-07-20,44.88
2016-07-21,44.3
2016-07-24,43.08
2016-07-25,43.09
2016-07-27,42.18
2016-07-28,42.15
2016-07-31,43.97
2016-08-01,42.15
2016-08-03,42.14
2016-08-04,41.92
2016-08-07,41.25
2016-08-08,41.23
2016-08-09,41.57
2016-08-10,41.74
2016-08-11,41.84
2016-08-15,41.84
2016-08-16,42.46
2016-08-17,41.84
2016-08-18,42.46
2016-08-22,42.46
2016-08-23,43.07
2016-08-25,43.07
2016-08-28,43.07
2016-08-29,43.01
2016-08-30,43.09
2016-08-31,43.07
2016-09-01,43.69
2016-09-05,44.74
2016-09-07,44.81
2016-09-08,44.86
2016-09-14,44.92
2016-09-20,44.59
2016-09-21,44.3
2016-09-25,43.07
2016-09-27,41.85
2016-09-28,42.14
2016-09-29,42.69
2016-10-04,43.07
2016-10-05,43.07
2016-10-09,43.07
2016-10-10,43.07
2016-10-11,43.09
2016-10-12,43.69
2016-10-13,43.23
2016-10-16,43.07
2016-10-17,43.07
2016-10-20,42.84
2016-10-23,42.84
2016-10-24,41.84
2016-10-25,41.84
2016-10-26,41.86
2016-10-27,41.86
2016-10-30,41.86
2016-10-31,44.07
2016-11-01,43.07
2016-11-02,43.07
2016-11-03,45.53
2016-11-06,46.08
2016-11-07,46.29
2016-11-08,49.01
2016-11-09,51.29
2016-11-10,52.1
2016-11-13,52.92
2016-11-14,53.21
2016-11-15,53.49
2016-11-16,53.52
2016-11-17,53.98
2016-11-20,52.33
2016-11-21,52.41
2016-11-22,54.15
2016-11-23,54.46
2016-11-24,55.39
2016-11-27,55.4
2016-11-28,55.39
2016-11-29,55.53
2016-12-01,55.39
2016-12-04,55.38
2016-12-07,53.54
2016-12-08,52.3
2016-12-12,51.79
2016-12-13,52.31
2016-12-14,52.3
2016-12-15,52.3
2016-12-19,51.69
2016-12-21,51.52
2016-12-22,50.93
2016-12-25,45.85
2016-12-26,49.39
2016-12-27,49.84
2016-12-28,50.39
2016-12-29,53.84
2017-01-02,53.82
2017-01-05,53.76
2017-01-08,55.38
2017-01-09,55.37
2017-01-10,55.07
2017-01-11,55.38
2017-01-15,51.71
2017-01-17,51.69
2017-01-18,51.69
2017-01-19,51.69
2017-01-23,51.9
2017-01-24,51.9
2017-01-30,55.33
2017-01-31,55.12
2017-02-01,60.38
2017-02-02,60.32
2017-02-06,60.32
2017-02-07,61.43
2017-02-08,61.53
2017-02-09,61.55
2017-02-13,61.53
2017-02-14,61.82
2017-02-15,61.56
2017-02-16,62.67
2017-02-19,62.67
2017-02-20,61.53
2017-02-21,62.76
2017-02-22,62.76
2017-02-23,62.74
2017-02-28,62.74
2017-03-01,63.37
2017-03-02,64.57
2017-03-05,64.57
2017-03-06,64.57
2017-03-07,64.87
2017-03-09,64.87
2017-03-12,64.87
2017-03-13,64.91
2017-03-15,64.91
2017-03-16,64.62
2017-03-19,66.36
2017-03-20,64.61
2017-03-21,64.61
2017-03-23,65.23
2017-03-26,65.23
2017-03-27,65.18
2017-03-28,65.06
2017-03-29,65.06
2017-03-30,65.23
2017-04-03,65.77
2017-04-04,65.77
2017-04-05,65.77
2017-04-06,65.24
2017-04-09,65.24
2017-04-11,65.35
2017-04-12,67.07
2017-04-13,68.27
2017-04-18,68.3
2017-04-19,68.31
2017-04-20,68.3
2017-04-23,68.3
2017-04-24,68.31
2017-04-26,68.31
2017-04-27,68.31
2017-05-04,68.3
2017-05-07,68.3
2017-05-08,68.3
2017-05-09,68.3
2017-05-10,63.93
2017-05-11,63.93
2017-05-14,63.38
2017-05-15,63.4
2017-05-16,63.38
2017-05-17,63.99
2017-05-18,64.59
2017-05-24,63.35
2017-05-25,63.79
2017-05-29,63.99
2017-05-30,63.99
2017-06-01,63.99
2017-06-04,63.91
2017-06-06,63.91
2017-06-07,64.54
2017-06-08,64.61
2017-06-11,64.61
2017-06-12,64.46
2017-06-13,64.62
2017-06-14,65.25
2017-06-15,66.14
2017-06-20,66.14
2017-06-21,68.14
2017-06-22,68.14
2017-06-28,68.01
2017-07-02,68.01
2017-07-03,68.01
2017-07-04,68.92
2017-07-10,68.92
2017-07-11,68.95
2017-07-12,68.92
2017-07-13,69.1
2017-07-16,69.1
2017-07-18,71.0
2017-07-19,70.95
2017-07-20,72.23
2017-07-25,74.02
2017-07-26,76.76
2017-07-27,79.3
2017-07-30,81.56
2017-07-31,80.61
2017-08-01,83.83
2017-08-02,83.07
2017-08-03,83.59
2017-08-06,83.69
2017-08-07,85.53
2017-08-09,85.38
2017-08-10,83.64
2017-08-13,83.69
2017-08-14,83.07
2017-08-16,83.69
2017-08-20,83.69
2017-08-21,83.69
2017-08-22,83.62
2017-08-23,83.68
2017-08-29,82.0
2017-09-05,81.7
2017-09-06,81.7
2017-09-07,78.76
2017-09-10,75.06
2017-09-11,75.06
2017-09-12,73.42
2017-09-13,73.22
2017-09-14,73.22
2017-09-18,71.0
2017-09-19,71.73
2017-09-20,78.76
2017-09-25,73.34
2017-09-26,73.84
2017-09-27,74.29
2017-09-28,76.5
2017-10-01,76.3
2017-10-02,76.81
2017-10-04,76.3
2017-10-09,73.84
2017-10-10,74.59
2017-10-11,75.66
2017-10-12,77.15
2017-10-15,74.1
2017-10-16,74.15
2017-10-18,71.99
2017-10-19,74.47
2017-10-22,73.22
2017-10-24,73.8
2017-10-25,73.8
2017-10-26,76.33
2017-10-29,76.92
2017-10-31,78.62
2017-11-01,78.62
2017-11-02,78.62
2017-11-05,78.62
2017-11-06,78.62
2017-11-07,77.3
2017-11-08,78.15
2017-11-09,79.4
2017-11-12,76.92
2017-11-13,76.92
2017-11-14,76.92
2017-11-15,76.92
2017-11-16,76.92
2017-11-19,76.92
2017-11-20,76.61
2017-11-21,76.61
2017-11-23,75.69
2017-11-26,72.74
2017-11-27,73.9
2017-11-28,75.99
2017-11-29,74.46
2017-12-04,74.46
2017-12-05,74.48
2017-12-06,76.92
2017-12-07,76.92
2017-12-12,76.92
2017-12-14,76.92
2017-12-17,76.92
2017-12-18,79.38
2017-12-19,79.99
2017-12-20,81.12
2017-12-21,81.22
