Date,Close
2021-07-01,2816.56
2021-07-05,2803.17
2021-07-06,2782.69
2021-07-07,2782.08
2021-07-08,2779.75
2021-07-12,2758.00
2021-07-13,2760.89
2021-07-14,2755.45
2021-07-15,2744.28
2021-07-26,2758.82
2021-07-27,2761.42
2021-07-28,2751.70
2021-07-29,2765.71
2021-08-02,2790.30
2021-08-03,2795.68
2021-08-04,2813.20
2021-08-05,2820.37
2021-08-09,2823.35
2021-08-10,2816.67
2021-08-11,2814.63
2021-08-16,2824.97
2021-08-17,2837.34
2021-08-18,2862.01
2021-08-19,2838.24
2021-08-23,2887.53
2021-08-24,2904.10
2021-08-25,2902.65
2021-08-26,2900.02
2021-08-30,2899.84
2021-08-31,2902.97
2021-09-01,2916.60
2021-09-02,2912.37
2021-09-06,2907.45
2021-09-07,2909.37
2021-09-08,2906.63
2021-09-09,2907.56
2021-09-13,2888.82
2021-09-14,2880.90
2021-09-15,2885.29
2021-09-16,2901.06
2021-09-20,2872.03
2021-09-21,2837.54
2021-09-22,2843.83
2021-09-23,2839.57
2021-09-27,2817.27
2021-09-28,2830.71
2021-09-29,2826.53
2021-09-30,2845.49
2021-10-04,2812.14
2021-10-05,2783.39
2021-10-06,2751.50
2021-10-07,2772.44
2021-10-11,2770.08
2021-10-12,2787.72
2021-10-13,2789.37
2021-10-14,2789.51
2021-10-18,2817.17
2021-10-19,2818.26
2021-10-20,2857.32
2021-10-25,2865.67
2021-10-26,2866.12
2021-10-27,2864.17
2021-10-28,2861.13
2021-11-01,2881.55
2021-11-02,2995.32
2021-11-03,3109.36
2021-11-04,3107.67
2021-11-08,3104.28
2021-11-09,3119.96
2021-11-10,3106.96
2021-11-11,3140.98
2021-11-15,3254.92
2021-11-16,3287.21
2021-11-17,3261.66
2021-11-18,3265.14
2021-11-22,3171.65
2021-11-23,3144.39
2021-11-24,3156.85
2021-11-25,3170.27
2021-11-29,3059.94
2021-11-30,3072.91
2021-12-06,3162.23
2021-12-07,3192.84
2021-12-08,3196.92
2021-12-09,3226.26
2021-12-13,3246.58
2021-12-14,3276.18
2021-12-15,3254.86
2021-12-16,3273.19
2021-12-20,3156.91
2021-12-21,3152.93
2021-12-22,3126.29
2021-12-23,3144.53
2021-12-27,3188.12
2021-12-28,3199.06
2021-12-29,3174.09
2021-12-30,3195.91
2022-01-03,3190.97
2022-01-04,3216.24
2022-01-05,3225.29
2022-01-06,3195.69
2022-01-10,3229.57
2022-01-11,3207.81
2022-01-12,3208.14
2022-01-13,3214.60
2022-01-17,3179.35
2022-01-18,3177.88
2022-01-19,3168.63
2022-01-20,3169.05
2022-01-24,3146.67
2022-01-25,3157.23
2022-01-26,3172.82
2022-01-27,3188.30
2022-01-31,3203.08
2022-02-01,3170.59
2022-02-02,3174.33
2022-02-03,3152.80
2022-02-07,3188.82
2022-02-08,3213.46
2022-02-09,3245.56
2022-02-10,3250.33
2022-02-14,3247.81
2022-02-15,3278.86
2022-02-16,3325.68
2022-02-17,3330.05
2022-02-21,3311.38
2022-02-22,3309.28
2022-02-23,3335.79
2022-02-24,3274.38
2022-02-28,3354.64
2022-03-01,3397.63
2022-03-02,3467.71
2022-03-03,3482.03
2022-03-07,3418.75
2022-03-08,3411.87
2022-03-09,3385.34
2022-03-10,3382.43
2022-03-14,3353.51
2022-03-15,3305.34
2022-03-16,3372.50
2022-03-17,3409.84
2022-03-21,3360.14
2022-03-22,3349.56
2022-03-23,3361.20
2022-03-24,3379.48
2022-03-28,3484.38
2022-03-29,3515.24
2022-03-30,3527.39
2022-03-31,3526.60
2022-04-04,3519.93
2022-04-05,3501.83
2022-04-06,3499.79
2022-04-07,3515.34
2022-04-11,3587.68
2022-04-12,3568.83
2022-04-13,3582.22
2022-04-14,3584.98
2022-04-18,3587.44
2022-04-19,3646.18
2022-04-20,3648.45
2022-04-21,3662.82
2022-04-25,3653.60
2022-04-26,3665.86
2022-04-27,3687.69
2022-04-28,3720.63
2022-05-05,3733.70
2022-05-09,3622.01
2022-05-10,3597.88
2022-05-11,3528.53
2022-05-12,3326.57
2022-05-17,3469.91
2022-05-18,3437.30
2022-05-19,3390.25
2022-05-23,3307.39
2022-05-24,3258.88
2022-05-25,3258.04
2022-05-26,3296.06
2022-05-30,3345.12
2022-05-31,3347.24
2022-06-01,3407.29
2022-06-02,3396.00
2022-06-06,3388.93
2022-06-07,3372.96
2022-06-08,3395.75
2022-06-09,3373.65
2022-06-13,3287.10
2022-06-14,3297.80
2022-06-15,3335.79
2022-06-16,3280.42
2022-06-20,3210.32
2022-06-21,3264.31
2022-06-22,3235.98
2022-06-23,3198.94
2022-06-27,3217.50
2022-06-28,3252.71
2022-06-29,3245.84
2022-06-30,3223.29
2022-07-04,3157.61
2022-07-05,3121.83
2022-07-06,3061.80
2022-07-07,3108.87
2022-07-12,3128.70
2022-07-13,3112.82
2022-07-14,3153.87
2022-07-18,3170.90
2022-07-19,3186.43
2022-07-20,3211.66
2022-07-21,3256.07
2022-07-25,3235.90
2022-07-26,3247.33
2022-07-27,3260.53
2022-07-28,3301.20
2022-08-01,3377.12
2022-08-02,3347.93
2022-08-03,3338.80
2022-08-04,3320.67
2022-08-08,3348.56
2022-08-09,3385.47
2022-08-10,3394.24
2022-08-11,3385.60
2022-08-15,3397.32
2022-08-16,3414.59
2022-08-17,3457.75
2022-08-18,3432.45
2022-08-22,3408.11
2022-08-23,3392.69
2022-08-24,3421.69
2022-08-25,3462.65
2022-08-29,3436.43
2022-08-30,3463.59
2022-08-31,3443.11
2022-09-01,3414.61
2022-09-05,3354.43
2022-09-06,3396.11
2022-09-07,3382.31
2022-09-08,3359.33
2022-09-12,3401.93
2022-09-13,3457.63
2022-09-14,3431.04
2022-09-19,3474.00
2022-09-20,3497.88
2022-09-21,3460.52
2022-09-22,3433.70
2022-09-26,3349.01
2022-09-27,3373.04
2022-09-28,3343.27
2022-09-29,3316.58
2022-10-03,3319.73
2022-10-04,3379.42
2022-10-05,3353.40
2022-10-06,3351.14
2022-10-10,3339.31
2022-10-11,3320.12
2022-10-12,3325.09
2022-10-13,3349.49
2022-10-17,3376.95
2022-10-18,3410.06
2022-10-19,3388.75
2022-10-20,3398.52
2022-10-24,3377.06
2022-10-25,3376.52
2022-10-26,3345.97
2022-10-27,3366.97
2022-10-31,3331.76
2022-11-01,3327.30
2022-11-02,3349.26
2022-11-03,3330.46
2022-11-07,3378.91
2022-11-08,3384.34
2022-11-09,3385.07
2022-11-10,3384.14
2022-11-14,3394.38
2022-11-15,3373.87
2022-11-16,3344.31
2022-11-17,3333.54
2022-11-21,3339.25
2022-11-22,3330.09
2022-11-23,3326.21
2022-11-24,3325.33
2022-11-28,3287.34
2022-11-29,3304.39
2022-11-30,3323.96
2022-12-05,3351.68
2022-12-06,3339.89
2022-12-07,3338.88
2022-12-08,3314.44
2022-12-12,3317.27
2022-12-13,3300.39
2022-12-14,3310.85
2022-12-15,3315.23
2022-12-19,3340.13
2022-12-20,3348.43
2022-12-21,3339.79
2022-12-22,3323.10
2022-12-26,3326.52
2022-12-27,3347.84
2022-12-28,3344.00
2022-12-29,3328.79
2023-01-02,3330.90
2023-01-03,3328.68
2023-01-04,3329.41
2023-01-05,3316.60
2023-01-09,3321.99
2023-01-10,3313.65
2023-01-11,3297.68
2023-01-12,3313.41
2023-01-16,3333.94
2023-01-17,3357.53
2023-01-18,3349.40
2023-01-19,3353.11
2023-01-23,3349.95
2023-01-24,3364.00
2023-01-25,3356.62
2023-01-26,3357.39
2023-01-30,3303.46
2023-01-31,3303.27
2023-02-01,3347.92
2023-02-02,3365.25
2023-02-06,3400.37
2023-02-07,3404.81
2023-02-08,3417.01
2023-02-09,3445.70
2023-02-13,3469.77
2023-02-14,3459.10
2023-02-15,3463.74
2023-02-16,3469.59
2023-02-20,3462.13
2023-02-21,3458.00
2023-02-22,3426.59
2023-02-23,3411.87
2023-02-27,3417.96
2023-02-28,3437.76
2023-03-01,3447.05
2023-03-02,3435.89
2023-03-06,3456.18
2023-03-07,3429.30
2023-03-08,3427.05
2023-03-09,3409.52
2023-03-13,3354.33
2023-03-14,3304.43
2023-03-15,3310.33
2023-03-16,3306.81
2023-03-20,3344.12
2023-03-21,3381.04
2023-03-22,3392.72
2023-03-23,3363.85
2023-03-27,3326.40
2023-03-28,3384.41
2023-03-29,3400.67
2023-03-30,3425.56
2023-04-03,3436.57
2023-04-04,3454.60
2023-04-05,3429.63
2023-04-06,3414.60
2023-04-10,3411.80
2023-04-11,3444.22
2023-04-12,3496.52
2023-04-13,3487.44
2023-04-17,3513.89
2023-04-18,3511.67
2023-04-19,3471.00
2023-04-24,3498.28
2023-04-25,3506.38
2023-04-26,3489.78
2023-04-27,3515.91
2023-05-01,3538.05
2023-05-02,3575.56
2023-05-03,3577.77
2023-05-04,3590.62
2023-05-08,3582.84
2023-05-09,3571.09
2023-05-10,3572.99
2023-05-11,3568.83
2023-05-15,3525.43
2023-05-16,3509.10
2023-05-17,3565.82
2023-05-18,3555.50
2023-05-22,3549.30
2023-05-23,3533.23
2023-05-24,3530.15
2023-05-25,3525.81
2023-05-29,3543.62
2023-05-30,3567.30
2023-05-31,3576.63
2023-06-01,3582.12
2023-06-05,3652.64
2023-06-06,3677.98
2023-06-07,3687.63
2023-06-08,3687.63
2023-06-12,3701.91
2023-06-13,3712.68
2023-06-14,3717.07
2023-06-15,3734.26
2023-06-19,3787.07
2023-06-20,3774.24
2023-06-21,3782.23
2023-06-22,3776.39
2023-06-26,3791.99
2023-07-03,3878.52
2023-07-04,3930.93
2023-07-05,3924.41
2023-07-06,3962.42
2023-07-10,3977.27
2023-07-11,3985.41
2023-07-12,3987.07
2023-07-13,4004.69
2023-07-17,4018.95
2023-07-18,4021.96
2023-07-20,3986.36
2023-07-24,3993.83
2023-07-25,4014.86
2023-07-26,4039.48
2023-07-27,4029.24
2023-07-31,4059.27
2023-08-01,4077.28
2023-08-02,4083.71
2023-08-03,4051.18
2023-08-07,4079.42
2023-08-08,4077.73
2023-08-09,4070.54
2023-08-10,4048.85
2023-08-14,4058.79
2023-08-15,4051.19
2023-08-16,4045.64
2023-08-17,4049.09
2023-08-21,4053.64
2023-08-22,4068.52
2023-08-23,4099.49
2023-08-24,4106.69
2023-08-28,4099.52
2023-08-29,4084.81
2023-08-30,4067.18
2023-08-31,4082.87
2023-09-04,4068.65
2023-09-05,4053.42
2023-09-06,4037.87
2023-09-07,4058.95
2023-09-11,4070.17
2023-09-12,4060.95
2023-09-13,4050.64
2023-09-14,4034.00
2023-09-18,4048.42
2023-09-19,4074.72
2023-09-20,4138.40
2023-09-21,4179.68
2023-09-25,4182.06
2023-09-26,4154.11
2023-09-28,4163.58
2023-10-02,4183.14
2023-10-03,4201.84
2023-10-04,4192.29
2023-10-05,4142.92
2023-10-09,4056.04
2023-10-10,4051.12
2023-10-11,4082.24
2023-10-12,4057.20
2023-10-16,3943.35
2023-10-17,3937.46
2023-10-18,3883.06
2023-10-19,3808.25
2023-10-23,3729.91
2023-10-24,3741.51
2023-10-25,3841.12
2023-10-26,3782.04
2023-10-30,3838.76
2023-10-31,3877.08
2023-11-01,3892.55
2023-11-02,3913.42
2023-11-06,3956.96
2023-11-07,3989.71
2023-11-08,3965.21
2023-11-09,3929.41
2023-11-13,3982.93
2023-11-14,3973.21
2023-11-15,3960.77
2023-11-16,3984.52
2023-11-20,4002.44
2023-11-21,3985.04
2023-11-22,3996.99
2023-11-23,3984.99
2023-11-27,3994.59
2023-11-28,4008.61
2023-11-29,3999.58
2023-11-30,3992.36
2023-12-05,3978.20
2023-12-06,3969.17
2023-12-07,3956.26
2023-12-11,3934.52
2023-12-12,3937.28
2023-12-13,3939.31
2023-12-14,3982.07
2023-12-18,3990.60
2023-12-19,3997.58
2023-12-20,4014.28
2023-12-21,4005.32
2023-12-25,4018.14
2023-12-26,4028.88
2023-12-27,4038.32
2023-12-28,4049.53
2024-01-02,4091.05
2024-01-03,4077.58
2024-01-04,4087.35
2024-01-08,4089.40
2024-01-09,4117.72
2024-01-10,4130.02
2024-01-11,4117.98
2024-01-15,4101.29
2024-01-16,4082.34
2024-01-17,4090.64
2024-01-18,4052.78
2024-01-22,4081.24
2024-01-23,4107.52
2024-01-24,4181.47
2024-01-25,4173.55
2024-01-29,4170.59
2024-01-30,4168.43
2024-01-31,4169.08
2024-02-01,4220.35
2024-02-05,4230.70
2024-02-06,4153.74
2024-02-08,4159.10
2024-02-12,4210.96
2024-02-13,4219.31
2024-02-14,4223.48
2024-02-15,4238.95
2024-02-19,4272.96
2024-02-20,4277.36
2024-02-21,4254.99
2024-02-22,4229.21
2024-02-26,4223.25
2024-02-27,4272.55
2024-02-28,4290.38
2024-02-29,4308.77
2024-03-04,4326.62
2024-03-05,4245.80
2024-03-06,4248.30
2024-03-07,4236.98
2024-03-11,4248.10
2024-03-12,4252.77
2024-03-13,4259.24
2024-03-14,4290.34
2024-03-18,4275.38
2024-03-19,4272.76
2024-03-20,4291.37
2024-03-21,4277.61
2024-03-25,4281.55
2024-03-26,4246.23
2024-03-27,4231.79
2024-03-28,4232.94
2024-04-01,4263.29
2024-04-02,4269.40
