origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u,crps_n,crps_b_n
2022-01-27,2762,61,64,2022-04-27,6.5,6.62,-0.5282472010858352,0.0,0.0003247889329050125,0.12648643638271656,0.1896862283122101,0.14324959868948495,0.06147958166979395,0.0563283057695636,2.685024643210646,1.8899900274561823,0.56205,True,True,True,0.41308071434009935,0.29076769653172035,-0.0004552558983981214,0.142057952048333,0.029182496663416938,0.022038399798382298
2022-04-27,2826,62,59,2022-07-27,6.62,6.16,-0.03202234629390894,0.0,0.0009481995596740592,0.12766650482447928,0.29929290726570196,0.27669819133013485,0.23798936940828286,0.22993215036341041,2.7638927375621067,1.7647397957098496,0.26605,True,True,True,0.41750645582509166,0.2665770084153851,0.002413706769873958,-0.5715421759488125,0.04521040895252296,0.04179730986860043
2022-07-27,2885,62,66,2022-10-27,6.16,5.81,1.1894860035745032,0.0,0.0040421452903959265,0.14064495508511027,0.2584993302156722,0.22882762805585116,0.18306906659486355,0.18498306481807836,2.862324682007448,1.8909576963993064,0.31705,True,True,True,0.4646630977284818,0.3069736520128744,0.0026198268165140703,-0.4446540719086576,0.041964176983063664,0.037147342216858954
2022-10-27,2951,64,64,2023-01-27,5.81,5.19,-0.34783156005604376,0.0,0.007705035584971566,0.12817240587718573,0.40762511143151126,0.4255743193325699,0.33091357125331555,0.3339364540701517,2.445398759817321,1.830038013287722,0.15605,False,True,True,0.42089479514928074,0.3149807251786097,0.007199163942621656,-0.9405449515124675,0.07015922744087974,0.07324859196774008
2023-01-27,3015,62,62,2023-04-27,5.19,5.02,-2.355994197331801,0.0,0.010716975056793952,0.12067744728164949,0.17730579767486226,0.1476093839560092,0.11907562994779664,0.11465702715311643,2.068266025789934,1.3925832811773438,0.33955,True,True,True,0.39850983155875414,0.26832047806885234,0.013131263949054395,-0.36478016002620145,0.034162966796697926,0.02844111444239098
2023-04-27,3077,63,59,2023-07-27,5.02,5.48,0.1699689385394716,0.0,0.011911663366838259,0.1210676300158049,0.23906156756713975,0.23747172054971377,0.19740249560136336,0.19923910438262915,2.010496934845259,1.3528216125559798,0.74895,True,True,True,0.40049739737953366,0.26948637700318323,0.01298705354527363,0.6257948873663223,0.04762182620859358,0.04730512361548084
2023-07-27,3136,63,65,2023-10-27,5.48,5.27,0.8134628293271337,0.0,0.013100669698262088,0.12016884200217777,0.1944445306956769,0.16660588380149785,0.13533757575770977,0.13666134484169623,2.19239016658499,1.302989615050513,0.3231,True,True,True,0.40007119828193244,0.2377718275639622,0.011072107940769849,-0.4341841631790868,0.03548257859410162,0.030402533540419312
2023-10-27,3201,63,64,2024-01-29,5.27,5.67,-0.5524784343828528,0.0,0.013100669698262088,0.13123186106321097,0.21475897150662465,0.1920731704295492,0.16079538792009185,0.16292433538517503,2.2735866592431,1.3496911632552733,0.6896,True,True,True,0.4314206184522012,0.2561083801243403,0.014878410656511631,0.4576486609391241,0.04075122798987185,0.036446521903140267
2024-01-29,3265,62,60,2024-04-29,5.67,5.72,2.078337229202417,0.0,0.013100669698262088,0.11969685880333027,0.1507736933270079,0.09743893871167966,0.010061014917225553,0.013654327148741263,2.264987243687272,1.3794344452381164,0.486,True,True,True,0.39946864968029483,0.2432864982783274,0.012367201029003683,-0.03609937712163332,0.026591480304586933,0.01718499800911458
2024-04-29,3325,61,63,2024-07-29,5.72,6.25,-1.0471717130859595,0.0,0.013100669698262088,0.1261588097503715,0.27461864384175877,0.27576674648699806,0.22471313997017095,0.2298913547606567,2.413527720816658,1.4277399302530203,0.7373,True,True,True,0.42194540573717804,0.24960488291136718,0.014086314695744395,0.5985470916201253,0.0480102524198879,0.0482109696655591
2024-07-29,3388,63,66,2024-10-29,6.25,7.37,2.1878346662959314,0.0,0.013100669698262088,0.11790743701852686,0.674875981338815,0.7642264085244891,0.5228989093019618,0.5184241779237393,2.4491977586209384,6.059579792348248,0.9103,False,False,True,0.39187164137935016,0.24505676010666078,0.011872349023372308,1.2869041732357454,0.1079801570142104,0.12227622536391826
2024-10-29,3454,64,63,2025-01-29,7.37,7.81,1.2994783691222926,0.0,0.011911663366838259,0.12061586245507187,0.25341497719064243,0.21657438336822693,0.1719656615271128,0.17969777750842564,2.9546483120230516,1.827969680633613,0.6566,True,True,True,0.4009020776150681,0.24802845056087014,0.01303509863579011,0.38200277596716375,0.03438466447634226,0.02938594075552604
2025-01-29,3517,62,62,2025-04-29,7.81,8.7,0.9156146081745846,0.0,0.010716975056793952,0.12304410548169523,0.4664559224235425,0.5116339343187144,0.39479814662973123,0.4038602087577887,3.16602846072436,1.9660664080097492,0.7949,False,True,True,0.4053813650095211,0.2517370560831945,0.012855788315049521,0.7899694696598829,0.059725470220684064,0.06551010682698008
2025-04-29,3579,63,62,2025-07-29,8.7,10.15,2.062784278513652,0.0,0.010716975056793952,0.14774704311024128,0.8144182646853397,0.9577110766981076,0.6739623560819199,0.6853910010078463,4.238732723366962,4.178244877327645,0.85195,False,True,True,0.4872106578582715,0.2722808134118964,0.011732791705305834,0.9708059244437232,0.09361129479141837,0.11008173295380548
2025-07-29,3641,64,65,2025-10-29,10.15,9.26,0.4656232367802709,0.0,0.010716975056793952,0.13439355830197147,0.5819211105213626,0.6206222370908429,0.4748815184491839,0.4981817859799831,4.500003337305833,2.9150054448037803,0.21485,False,True,True,0.44335008249318547,0.28719265466047095,0.0058879839308736415,-0.7625858946023525,0.05733212911540518,0.061145047989245596
2025-10-29,3706,64,63,2026-01-29,9.26,10.45,0.11983812215876807,0.0,0.010117483138428305,0.11714771122400838,0.6544956827990147,0.6753643966202442,0.5437409701105453,0.5482899262023224,3.5930118892020673,2.9399239821702077,0.8432,False,True,True,0.38801424289439174,0.3174863911630894,0.011071064770940442,0.9456475543296851,0.07067987935194543,0.0729335201533741
2026-01-29,3769,62,60,2026-04-29,10.45,10.86,1.5859546788042378,0.0,0.008914169302008671,0.13695171506593534,0.34736237790333546,0.2722072755635091,0.16036288907166885,0.15209232912419157,4.678210246156409,3.3437940908412713,0.5933,True,True,True,0.44767562164176167,0.3199802957742844,0.008542987737479635,0.21591673224920271,0.03324041893811823,0.026048543116125273
2026-04-29,3829,62,60,2026-07-29,10.86,12.12,1.3632770090067552,0.0,0.008914169302008671,0.13426518183347708,0.688142073519818,0.6833437586813321,0.5848488685285629,0.5747435232725602,4.82572342353366,3.8112072280673086,0.79295,False,True,True,0.4443575896439834,0.3509398920872292,0.008315125501185516,0.751173874388805,0.06336483181582118,0.06292299803695509
