origin,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2023-01-17,26.0,20.18,-0.5855723575334206,0.0,0.010252259395344515,0.14093326054477295,4.328960386780409,4.379058707192932,3.0582388798885294,3.0278255338291817,26.496747852571023,31.2474691340478,0.02856,False,False,False,0.47157865184608916,0.4369357092776027,0.011402990760656095,-1.8707917596755148
2023-04-11,20.18,20.78,-0.7235879889116167,0.0,0.011389840336704793,0.13016057911937776,0.6465194156941481,0.7115162010876919,0.18354163461822637,0.19073398676906983,8.788665193850555,9.798132516867266,0.55466,True,True,True,0.43551363695988876,0.485536794691143,0.011541958908005467,0.13759258394577614
2023-07-12,20.78,20.18,1.737903051796953,0.0,0.01195659908586129,0.16054828866587664,0.880949732531578,0.8692757312173605,0.4247413770518307,0.4359554586908452,11.193456742153888,11.011139265911748,0.3995,True,True,True,0.538664905782189,0.5298912062517684,0.012005907319714071,-0.256966736763781
2023-10-06,20.18,18.7,0.12664864189007344,0.0,0.012522011933135853,0.16414430469559776,1.1451111977465265,1.1440403006744626,0.8628877483723585,0.8808792697437244,11.229604202679742,10.85332891712908,0.29406,True,True,True,0.5564719624717415,0.5378260117506977,0.012179162375853148,-0.5403203185302866
2024-01-02,18.7,15.94,-0.530653730673206,0.0,0.012522011933135853,0.16079644845956625,1.8390374711663502,1.848886103006814,1.4870105820279447,1.4848242487101375,10.124514595501791,9.598729355211644,0.14252,False,True,True,0.5414178928075825,0.5133010350380558,0.01144498203507438,-1.0710053865083504
2024-03-26,15.94,12.1,-0.2845544896487397,0.0,0.012522011933135853,0.15670085762191555,2.850129637090924,2.8841005854338704,2.0251977581446754,2.0161847791940497,16.08633107669126,18.84035902143293,0.03266,False,False,False,0.5274729660933658,0.49761655240453323,0.013199216831201399,-1.8388427291683838
2024-06-27,12.1,11.94,0.37161303452073763,0.0,0.012522011933135853,0.153548950771219,0.4585689928580221,0.46138933782759484,0.14758053911976532,0.15252913298485193,6.293993894024947,6.275189548213119,0.43474,True,True,True,0.5201647846301609,0.5186107064638941,0.011170337044589251,-0.16824183064504172
2024-09-19,11.94,10.76,-0.018999433069833642,0.0,0.011389840336704793,0.15893999370067288,0.8052851771473917,0.7957197127202791,0.6544919865766392,0.6524858891534526,6.403421678533045,5.976511526457273,0.23374,False,True,True,0.5362999730764694,0.500545353974646,0.010802677818532613,-0.7263646542288346
2024-12-16,10.76,11.14,-1.5743806551045358,0.0,0.01082172926283747,0.15805659102399353,0.4185832843002145,0.3908843517315538,0.13139132516576435,0.1323511347009365,5.700852311739169,5.281323680568054,0.55908,True,True,True,0.5298189880798484,0.49082933834275594,0.010893805731270634,0.15111644726689372
2025-03-11,11.14,11.86,0.22027277835481215,0.0,0.010252259395344515,0.16893406958413565,0.5239757511551428,0.48909330996834766,0.29995265773568747,0.3045873794070024,6.380974849109613,5.741174320375718,0.6197,True,True,True,0.5727984604227659,0.515365737915235,0.010780492327524538,0.31004343767975767
2025-06-09,11.86,10.98,0.4684407778129723,0.0,0.010252259395344515,0.17013011654734356,0.6750146108453439,0.6476551520209557,0.5051404550458933,0.4956136717185382,6.748032826129657,6.193004210802918,0.30374,True,True,True,0.5689741000109324,0.5221757344690487,0.010984899670471115,-0.5134200731546089
2025-09-02,10.98,8.7,-1.2728857500543023,0.0,0.010252259395344515,0.16862182122087152,1.5779092662861278,1.6364700493022184,1.1927175157595649,1.1929220022943667,6.244350822606647,6.3428409716897765,0.07458,False,False,True,0.5687022607109878,0.4819383975794226,0.0096024618869881,-1.441122317721194
2025-11-26,8.7,9.41,-1.5071464820012572,0.0,0.009109217170735795,0.16787697851306427,0.45054348922333654,0.41290372933150454,0.31485173872970407,0.317555556663736,4.955888320687404,3.9982159523607415,0.65994,True,True,True,0.5696423357111958,0.4595650519954876,0.009229485349493416,0.41304478660615457
2026-02-23,9.41,7.2,0.06201851217691645,0.0,0.008535631641356482,0.1641871682042824,1.5825777348077157,1.6260349040996753,1.1514087614420503,1.1405617656297404,6.005338380933886,10.09981644538459,0.047,False,False,False,0.5538089497478266,0.4855630383778813,0.00986371125229546,-1.6823943200783606
