origin,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u,origin_idx
2023-04-26,2.44,2.66,-0.3512340435267057,0.0,0.011344441301750722,0.09424926863924771,0.11229806633002098,0.1150672607149744,0.09486278150561711,0.09600958062894316,0.7595639831241026,0.6304999557080149,0.8027,False,True,True,0.311296714395124,0.25840162119180937,0.01240755614293687,0.7955885840743963,260
2023-07-26,2.66,2.39,0.48216442266765885,0.0,0.011911307999916229,0.08867545957237262,0.19904691059398844,0.19914012791493724,0.15135909451571794,0.1507022405019185,0.7738455912723561,0.7182086787402917,0.0788,False,False,True,0.29091939521517146,0.2700032626843202,0.012300071064449636,-1.341341397312164,320
2023-10-19,2.39,2.51,-1.1661349801157859,0.0,0.012476828284059131,0.09045575019723096,0.06381209017116095,0.06263454218024754,0.04531484656710294,0.044626052289999496,0.7109649121645112,0.6676063118235294,0.672,True,True,True,0.29747485864623896,0.2793331848634014,0.012288831324599903,0.4036510540966331,380
2024-01-15,2.51,2.42,0.07938900899208932,0.0,0.012476828284059131,0.0903851327195961,0.07644917963013198,0.07800252159373801,0.05926609625347945,0.06206743353030353,0.7389106964398087,0.7130176605317868,0.2764,True,True,True,0.29438673164932616,0.2840707810883613,0.011367407373290561,-0.5420365029627797,440
2024-04-15,2.42,2.31,-0.08276162378811065,0.0,0.012476828284059131,0.09329907911269901,0.0868823080832318,0.08495107708729373,0.07018654428960969,0.06980648951116741,0.7401371662653999,0.6778224858047643,0.2369,False,True,True,0.3058418042419008,0.2800919362829605,0.012550863049264338,-0.6323411171903179,500
2024-07-10,2.31,2.49,0.5089967385633625,0.0,0.012476828284059131,0.0916879001260866,0.090804198522508,0.08948124028083537,0.07597012095529454,0.07527029521288808,0.6923955403874031,0.5657753704710236,0.77475,False,True,True,0.29973832917203597,0.2449244028013089,0.01214708142398746,0.6822967651437811,560
2024-10-02,2.49,2.78,1.1237502927494794,0.0,0.011344441301750722,0.08969544468761802,0.16375755938222553,0.16370577560862806,0.1318020136622733,0.13030690027784764,0.7295643966575382,0.6738183931112491,0.8817,False,True,True,0.2929977496616619,0.27060979643022054,0.01060079223913779,1.1017702879823141,620
2024-12-27,2.78,2.49,2.2979843381597895,0.0,0.010206642911232335,0.08243951160963693,0.21477277988753116,0.21052306492668998,0.15927597637668667,0.15740765204026275,0.752210315338746,0.7217308547029444,0.063,False,False,True,0.27057925012185113,0.2596154153607714,0.010270486601932971,-1.4601597921534777,680
2025-03-25,2.49,2.7,-1.1043086602634782,0.0,0.010206642911232335,0.08795952192700271,0.10995754136065254,0.10985406879490059,0.09289788177821734,0.09357094787990317,0.711198772244579,0.7377041475608226,0.8122,False,True,True,0.28562199688537304,0.29626672592804115,0.00972057688496597,0.8044884518717625,740
2025-06-23,2.7,2.74,0.06567879597224022,0.0,0.010206642911232335,0.10727972066951567,0.06333575910903744,0.061088076354727266,0.0052238147374334964,0.00646400580523121,0.9533695122298855,0.8601665044273612,0.5166,True,True,True,0.35309981934440204,0.3185801868249486,0.010945322416715975,0.04194179897544905,800
2025-09-17,2.74,2.79,0.0,0.0,0.010206642911232335,0.09372370711877398,0.05659529416595316,0.06093156169977182,0.01097536721123693,0.012339816874933573,0.8435076362726361,0.8472857731182044,0.5381,True,True,True,0.30784950228928326,0.3092283843497096,0.01023695823997306,0.0840452513479925,860
2025-12-12,2.79,2.87,0.33139866134254586,0.0,0.008489685049532068,0.09725647340724375,0.06400200835046949,0.06555715849704422,0.028861894244153863,0.028829487301427648,0.8792335216035201,0.8579473158466575,0.5925,True,True,True,0.3151374629403298,0.30750799851134675,0.007984305201323316,0.20338747844470134,920
2026-03-11,2.87,2.65,-1.4130355283430875,0.0,0.008489685049532068,0.1181823913410494,0.14994911041300574,0.14792278656043908,0.12347217032227831,0.12362026200847676,1.1053871425643886,0.9128369337845776,0.20705,False,True,True,0.38515231448236537,0.31806164940229187,0.00938827200158765,-0.7466600888814564,980
