origin,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2022-11-02,1.78,2.21,0.14116610032398505,0.0,0.029625613898821915,0.22043035215706572,0.2186914375787626,0.22143484947526482,0.1861205480893614,0.1880989401682227,1.3433468451053296,1.2529679464832306,0.818,False,True,True,0.7546892388232189,0.7039145766759722,0.03244882237150404,0.8472224242230317
2023-01-30,2.21,2.1,0.07900657732881994,0.0,0.03585068059032722,0.23238380922349444,0.1467523519433077,0.13778531066731586,0.09627572202843582,0.09484856010054155,1.7611655247843818,1.5061431516172945,0.3379,True,True,True,0.7969074772780008,0.6815127382883686,0.03735359459586962,-0.37397550062117213
2023-05-02,2.1,2.09,0.6817452137565579,0.0,0.039912105091416905,0.2405791491330977,0.12295380067976491,0.1041944313024672,0.04699147855475028,0.048496010643033216,1.7496119836550623,1.351225450452349,0.4226,True,True,True,0.8331485636452677,0.6434406906915948,0.039991884337857275,-0.18574088405040035
2023-08-06,2.09,1.97,-0.0993194965765989,0.0,0.0419171294715141,0.22811367003446,0.14496574246470761,0.1333252856088973,0.10151163330553847,0.10687675128554008,1.6277318450504106,1.1745113885426068,0.3138,True,True,True,0.7788190646174213,0.5619671715514866,0.03972405101008469,-0.44297061497047413
2023-10-31,1.97,2.86,0.41752603151042034,0.0,0.0419171294715141,0.216351516544615,0.5523778031860669,0.5906665969168189,0.402843768577678,0.40347714559542047,1.4648037497223036,4.203636622818181,0.9405,False,False,True,0.7435552029047227,0.5805454583872817,0.04279820448966687,1.52932116166664
2024-01-28,2.86,2.59,2.179421468663143,0.0,0.0419171294715141,0.2274037739573522,0.24602750108791688,0.2396760472499634,0.19472602586098975,0.19695951040481186,2.2348896664048494,1.8624849523530522,0.24945,False,True,True,0.7814299532884089,0.6512185148087596,0.04176645165104187,-0.6203981408782051
2024-04-28,2.59,2.92,-1.3231510136353444,0.0,0.057377016533938285,0.24434479633605427,0.16459888006487516,0.15277941968836733,0.09150732164027842,0.0871719315573356,2.2116351676843244,1.892015019606345,0.61325,True,True,True,0.8539131921561098,0.7305077295777395,0.05675110298047992,0.2559854966126664
2024-08-04,2.92,3.37,-0.17943916639035007,0.0,0.057377016533938285,0.2277986051833425,0.19824807240372594,0.20822010011919312,0.13873070926317,0.14460293570412208,2.343745887376518,2.3154310849231763,0.66625,True,True,True,0.8026527011563417,0.7929558510010878,0.05908855529919865,0.37731623282312743
2024-10-29,3.37,3.19,0.0,0.0,0.057377016533938285,0.22277670791391693,0.2510659143493684,0.26052299594296974,0.18710032037354107,0.18461292492315629,2.6090270249813,2.7379679503828322,0.2845,True,True,True,0.7741919955434124,0.8124533977397128,0.05762630289230919,-0.5039523438188039
2025-01-23,3.19,3.3,0.1290762449391647,0.0,0.057377016533938285,0.21391664286456596,0.1610212145331219,0.16713582755795253,0.04148206991478265,0.0383526467571178,2.389481012115812,2.3396968829923894,0.4488,True,True,True,0.7490536088137342,0.7334472987436957,0.06049032596538084,-0.10974118022747562
2025-04-28,3.3,3.36,-0.24822133883204758,0.0,0.053129416979573754,0.20174176900494878,0.16064452645925598,0.15769316600842148,0.059952712645823025,0.056567011182292015,2.315223451315681,2.131158082806801,0.4246,True,True,True,0.7015828640350549,0.6458054796384246,0.0545167955429231,-0.17403887975243265
2025-07-31,3.36,4.2,0.20018580357373375,0.0,0.051216995146891785,0.1953716863953223,0.3953321450743945,0.408909696016997,0.33362067087253244,0.33319459131739126,2.2466740905617733,1.76851669502111,0.8334,False,True,True,0.6686530031433849,0.5263442544705684,0.05141626733777849,0.8799972981726504
2025-10-27,4.2,4.07,2.771779837203816,0.0,0.04538579990682136,0.21734022019359783,0.25873120261664706,0.22701533780290206,0.16596329437101964,0.1660040769732003,3.1300811000711803,2.318991070295108,0.3426,True,True,True,0.7452574047788524,0.5521407310226447,0.048077759224295136,-0.35348876371435395
2026-01-21,4.07,4.84,0.1978024987377615,0.0,0.04538579990682136,0.20970627390063995,0.34474662992341987,0.3430206235457053,0.2891803142755087,0.29528207747580115,2.9332345478130533,2.4031325776975567,0.7476,True,True,True,0.7206964490941162,0.5904502647905544,0.04708584065085564,0.6098335495093881
