origin,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u,origin_idx
2023-10-13,3.06,3.28,-1.2807267437352647,0.0,0.012476828284059131,0.1463659779020259,0.127211815673625,0.11456518508347568,0.08841500214509734,0.09067212968955363,1.4893082372240136,1.0504100215791214,0.6609,True,True,True,0.4867020383085012,0.34327124888206584,0.014107841735230497,0.38910461955732617,260
2024-01-09,3.28,3.7,1.0753247586483465,0.0,0.012476828284059131,0.1474292045063259,0.22324145443488835,0.22427312143914627,0.18854342668692992,0.1898232787756411,1.597182942359479,1.269801332460863,0.78635,False,True,True,0.4869460190120363,0.38713455257953144,0.01308327641040874,0.7326402481228389,320
2024-04-02,3.7,3.51,0.5459025175702076,0.0,0.012476828284059131,0.15030888965883146,0.16565485682019782,0.15109856983932046,0.11740860179218604,0.11899234769773037,1.8424440059695106,1.3823364712386534,0.3219,True,True,True,0.4979578394512191,0.37360445168612255,0.012112757725505796,-0.43373090310519186,380
2024-07-04,3.51,4.19,0.7479829503331983,0.0,0.012476828284059131,0.14802450457291835,0.4000585787120341,0.41028454549439664,0.3213780388146863,0.31540180111070115,1.7014797826099857,1.3986497181499038,0.8832,False,True,True,0.48475207481765975,0.3984757031766108,0.010610804094196125,1.1120312048815229,440
2024-09-26,4.19,5.13,2.654087908649171,0.0,0.011344441301750722,0.14545520772251444,0.5820506004750543,0.6054326074792591,0.4461115343143933,0.44704771243832875,2.0075618210118886,1.6777817227397538,0.91605,False,False,True,0.4791316995255104,0.4004252321574591,0.011402608919143908,1.3135348464894283,500
2024-12-23,5.13,4.88,-0.5255432561774941,0.0,0.010206642911232335,0.13657480545833336,0.20824263398517334,0.21131717661486338,0.14975928558408969,0.15221161534053262,2.2967611020878316,2.2302696775909077,0.3135,True,True,True,0.44771171580659486,0.4347504244816584,0.009652742917773738,-0.44054305643664776,560
2025-03-18,4.88,5.64,-2.046767620932573,0.0,0.010206642911232335,0.13907767077843144,0.43151025154195827,0.4222501266440211,0.3580219761780783,0.35335071558942,2.224806924042783,2.2410673581312603,0.853,False,True,True,0.45590305820548827,0.45923511437115994,0.009007386812262874,0.9673170537059574,620
2025-06-16,5.64,6.29,0.37088813692136713,0.0,0.010206642911232335,0.14669936108587242,0.3531459153581955,0.35542981608935276,0.2960117770132884,0.3023816447673835,2.738175806089628,2.472320204770252,0.7754,False,True,True,0.4854921642002887,0.43835464623586035,0.010279511697415478,0.673965868421706,680
2025-09-10,6.29,5.99,-0.5847658092152715,0.0,0.010206642911232335,0.15241106388110276,0.2670749897180724,0.2588812727315993,0.17933121822329845,0.17716593567684003,3.137923605931662,2.811094111804273,0.33165,True,True,True,0.4988749770956537,0.4469148031485331,0.009326301501843659,-0.3876116339054588,740
2025-12-05,5.99,6.08,0.18740077390564627,0.0,0.009063381144394363,0.14785705607554828,0.19363829663419996,0.17225155520537216,0.01490126594768082,0.018614988312104508,2.9247265418578,2.4291416016068235,0.51565,True,True,True,0.48826820398293824,0.4055328216371992,0.01004966078541547,0.03956458258802474,800
2026-03-04,6.08,5.62,-0.7189365986539457,0.0,0.008489685049532068,0.14435966580404788,0.31917009300095966,0.30685639365521955,0.2558159042149257,0.25213374741023964,2.893557773995041,2.30421140685214,0.25415,True,True,True,0.4759141075649738,0.37898213928489144,0.00849207375490968,-0.6037885765150058,860
