origin,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2022-01-19,1867.05,1587.7,1.3772954379427138,0.0,0.01499399980033058,0.11238984440772705,208.4879265695658,214.19309430980087,154.98315162547158,153.8470839163965,703.5761469233582,1088.539974680005,0.05665,False,False,True,0.3768384065361711,0.32845493050374225,0.016398223534958012,-1.5754734581676064
2022-04-20,1587.7,1420.84,1.304983223673602,0.0,0.01499399980033058,0.12471284524401154,117.03290202296762,118.18688500907217,95.76010814501467,95.22717035779226,669.925969234491,600.242063953717,0.15725,False,True,True,0.42194745180732574,0.378057607831276,0.015532037721250447,-1.010578995631423
2022-07-14,1420.84,1420.69,-0.4059394455985434,0.0,0.01499399980033058,0.129190675024468,45.413221127313776,43.74558698589041,10.523494043953633,11.141233548362038,617.3127017210372,603.9454680242309,0.4548,True,True,True,0.4344702441661533,0.4250622645929386,0.014707488589783102,-0.11687822455201255
2022-10-12,1420.69,1440.38,-0.3415277034078596,0.0,0.01499399980033058,0.1314093507507417,44.12553915726252,45.676766717883936,0.4176830185684821,2.077896760337012,631.8805019582433,651.2361587849578,0.50195,True,True,True,0.44477014827882455,0.4583942723500255,0.013271462432242753,-0.009357790876216427
2023-01-06,1440.38,1413.93,-0.6178131759094472,0.0,0.01499399980033058,0.12051345183863812,45.98796365196128,50.86356210979196,24.100083942270544,23.735647375408348,583.3039145712171,653.5976456782662,0.38335,True,True,True,0.40496529705440026,0.45376750973928137,0.015100298452173089,-0.27820882776635664
2023-04-06,1413.93,1339.75,-1.03323024041408,0.0,0.01499399980033058,0.11977996061716173,60.7815872202992,62.65133154262617,47.39497809278248,48.01614971464801,568.7642207164149,611.3311746977188,0.28505,True,True,True,0.40225769360322994,0.4323631118214613,0.014576362468838644,-0.5750881144981272
2023-07-05,1339.75,1427.41,-0.5430862470539267,0.0,0.01499399980033058,0.12186561563554126,49.534526649895525,48.4230004464637,34.5615233851255,33.32187610605183,554.4299736851212,536.9928203624424,0.65765,True,True,True,0.4138309189663155,0.40081568976483856,0.013836128553647464,0.3970322869951217
2023-09-29,1427.41,1553.89,0.21906334039537406,0.0,0.01499399980033058,0.1266733987543836,65.90266374604427,65.45030095443151,52.444502625187056,53.87589813422903,608.9519071223344,554.3794532039294,0.71485,True,True,True,0.42661317149405875,0.3883813712976155,0.015125993757663103,0.5518589694550134
2023-12-28,1553.89,1500.39,-0.20017026999115134,0.0,0.01499399980033058,0.11929872426401962,56.16502437547588,54.814497782966896,37.875898018325756,37.40290173016592,615.1993596565128,596.7513619700885,0.33525,True,True,True,0.39590920828148246,0.3840370695287881,0.014320058715000084,-0.41937070294964596
2024-03-22,1500.39,1527.15,0.7037936387338307,0.0,0.01499399980033058,0.1278197368576154,45.89650814824104,43.45422091017603,1.431573280230623,2.2704281645462743,650.2730792401001,615.0378107031343,0.5061,True,True,True,0.43340270145768767,0.4099186282920669,0.015927094581767998,0.020999723445017274
2024-06-24,1527.15,1892.15,0.5863620953944195,0.0,0.01499399980033058,0.11827895414270717,235.80952846649333,239.98416969560216,170.98891869826468,171.9246071831069,742.3956221573085,1037.3568016134438,0.95355,False,False,False,0.3989491971037839,0.38269415845711413,0.015075246441718537,1.6851391447969901
2024-09-18,1892.15,1980.05,1.058377704365787,0.0,0.01499399980033058,0.1203829400947578,60.308185521869774,55.22425640332425,30.32996079088423,30.234103190801875,762.9775070902008,684.9961307474687,0.60255,True,True,True,0.4032330983749707,0.36201999352454545,0.014396363088672315,0.25264666586107565
2024-12-16,1980.05,1661.6,1.0298925687914948,0.0,0.01499399980033058,0.11762012374156472,237.63153670080095,238.33033851879244,175.1389189731135,175.33283547708868,785.299278836819,801.9573904356428,0.0517,False,False,True,0.3966057820948052,0.3836981797199107,0.0160742597137582,-1.6182188649250766
2025-03-11,1661.6,1631.1,0.7880895235895191,0.0,0.01499399980033058,0.12422798560208934,55.11805562695453,50.52849044815879,28.160089495955617,26.53820395890284,696.5747649868595,631.4786889885518,0.38985,True,True,True,0.4192192856204017,0.380042542723009,0.015539347010057325,-0.26982937362935594
2025-06-11,1631.1,1444.6,0.3741421259381806,0.0,0.01499399980033058,0.12372544874600089,130.35266275803465,130.098831700044,105.80434507830887,105.09692463251235,671.5660959290715,692.79673080818,0.1372,False,True,True,0.41172588800752347,0.4247420334793575,0.015393715993266888,-1.1025716082357562
2025-09-05,1444.6,1578.7,-1.231118306192808,0.0,0.01499399980033058,0.12599200202708136,68.2246974852211,69.5385036529233,54.696966039899735,57.50158308582229,613.2279311227292,596.319033375368,0.7185,True,True,True,0.4244966988250929,0.4127917993737838,0.017102359075315432,0.5855550823356757
2025-12-03,1578.7,1300.1,-0.9336541071482987,0.0,0.01499399980033058,0.12243465703984951,208.4994073121237,206.14728624748506,151.115201653138,149.44481621887326,827.9860865281528,826.6989988304292,0.045,False,False,False,0.4078803279894395,0.4085164419767324,0.014968267122490664,-1.7082952149881394
2026-02-27,1300.1,1270.8,-0.4218538316715616,0.0,0.01499399980033058,0.1298975309054068,44.72870678212219,45.11904608776774,22.76921968455872,23.75490607419897,563.7023285163752,563.6370223806621,0.39275,True,True,True,0.43358382318004407,0.4335335915550051,0.012490146426519022,-0.29091054086786805
