origin,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u,origin_idx
2019-03-07,0.5886996047430829,0.4393280632411067,-0.21512495756154332,0.0,0.01887456687964473,0.34713822052460896,0.10286735947908629,0.1038751590778663,0.08138643155399108,0.08034550526907183,0.714311562309806,0.4613420889912344,0.1649,False,True,True,1.2133719074289882,0.7836629840996255,0.022764278246550695,-0.8974643597920356,260
2019-06-10,0.4393280632411067,0.32998418972332016,-0.9510587645782808,0.0,0.01887456687964473,0.3383659743117803,0.07426262827796677,0.07587196426892101,0.05912551289153309,0.058743806419270767,0.5145030654941799,0.35517391946738547,0.1644,False,True,True,1.171113590373617,0.8084480578070043,0.02027448963666889,-0.9016162301233196,320
2019-09-10,0.32998418972332016,0.33877075098814224,0.19024528603392368,0.0,0.01887456687964473,0.3299975873490976,0.02457643985688543,0.019209291146586392,0.0014107284849156354,0.001100229318403756,0.37804901688859355,0.2754856741978594,0.51195,True,True,True,1.1456579698729628,0.8348450706951875,0.018076939686087146,0.02243749005462459,380
2019-12-05,0.33877075098814224,0.4285889328063241,-0.42088467636881743,0.0,0.01887456687964473,0.31546447431838137,0.0493161306225733,0.04915827912306662,0.04238721766284326,0.04122741967396651,0.36356185120640516,0.2512445617586597,0.77745,False,True,True,1.073179576884814,0.7416359323401384,0.014888376513567003,0.6856558625690687,440
2020-03-02,0.4285889328063241,0.6131067193675889,2.2725848942490954,0.0,0.01887456687964473,0.31550015313288465,0.1082579515340837,0.12179492747567558,0.08817877443070718,0.08834209454297312,0.4650202675001348,0.34059531426272244,0.8782,False,True,True,1.085002975824095,0.6945849628495123,0.019039776987283874,1.0750111628964252,500
2020-06-04,0.6131067193675889,0.6804703557312252,-0.626127139407586,0.0,0.01887456687964473,0.32556842559145366,0.050865685632300164,0.04832405388529802,0.028287441665607538,0.027605266428343433,0.6868585963626921,0.6008458889607127,0.61865,True,True,True,1.1202920709647046,0.9800021268409469,0.01759685988036419,0.26222038349569404,560
2020-09-07,0.6804703557312252,0.6160355731225295,0.8588615687694182,0.0,0.01887456687964473,0.36355422777224394,0.0650835864594537,0.0591854559543577,0.037578514939993646,0.03917631222504586,0.8574401766330892,0.6780162238007341,0.35765,True,True,True,1.2600698464104207,0.9963934770856346,0.015757111505275923,-0.32554734908240635,620
2020-12-02,0.6160355731225295,1.1744703557312253,0.9796028035054071,0.0,0.01887456687964473,0.33708470758148124,0.4051383315965585,0.42288961451120904,0.2733337672136408,0.2748555634296056,2.354117274192199,4.082013250735647,0.9665,False,False,False,1.1773033918547384,0.9866154775211663,0.019101572530574762,1.858266698148587,680
2021-02-28,1.1744703557312253,0.5418379446640316,0.796966646136746,0.0,0.01887456687964473,0.375088273288171,0.483753626577305,0.4936740316508387,0.3261466538623944,0.3252760832294119,3.9472763387571757,4.717427480346569,0.0178,False,False,False,1.3073991755488996,1.0818426183529744,0.016740223847841795,-2.1127831114545303,740
2021-06-01,0.5418379446640316,0.4813083003952569,0.0,0.0,0.01887456687964473,0.38687964434710265,0.057877858913149394,0.05064071833098563,0.03610393156891259,0.035233849206501106,0.7384128346582778,0.5476094015722983,0.34895,True,True,True,1.362792772138048,1.0106516292649925,0.02155297351183405,-0.35497733879266996,800
2021-09-01,0.4813083003952569,0.27140711462450595,-0.14607419917688777,0.0,0.01887456687964473,0.3276646115970151,0.1555157329883154,0.1591095180207805,0.10951734530180476,0.10879410885163482,0.8935611657789492,1.2383228318259356,0.03645,False,False,False,1.1336212693183485,0.9666042947836814,0.018976412468594495,-1.80600103364073,860
2021-11-28,0.27140711462450595,0.24602371541501974,-1.0638603438667003,0.0,0.01887456687964473,0.35080591176796294,0.025416631716630077,0.02265932524940098,0.015009725029456036,0.015066328600739795,0.3268503837802834,0.2581405618872764,0.354,True,True,True,1.204280824518855,0.9511193626755734,0.01708153765917264,-0.33370758340096396,920
2022-02-22,0.24602371541501974,0.19037549407114623,-0.9571955759874734,0.0,0.01887456687964473,0.30245377525550665,0.0380535739264646,0.0381675304220834,0.03044248337594188,0.030464463551935245,0.2531357955154183,0.19905749904608092,0.16375,False,True,True,1.0289081078561924,0.8090988249254302,0.02128553094638197,-0.9102352767617135,980
2022-05-26,0.19037549407114623,0.247,0.33034108216414865,0.0,0.025383270251966246,0.3654988513198203,0.030053280747089996,0.03137693236799069,0.025758717240687373,0.02614567557724054,0.24322857498438494,0.142523825152897,0.7603,False,True,True,1.2776254431859109,0.7486458582722504,0.026826306990806348,0.6429750984529655,1040
