origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u
2023-02-17,260,60,60,2023-05-17,533000.0,560000.0,0.0,0.0,0.0073897005603861,0.1792827014454798,23042.707440332313,24842.95211027223,11018.93143099267,11487.267999973032,317648.80622135074,322097.0039601158,0.59545,True,True,True,0.5959639891582565,0.6043095759101609,0.009309825774886704,0.23441000533866035
2023-05-17,320,62,63,2023-08-17,560000.0,540000.0,0.0,0.0,0.0073897005603861,0.1796584077788131,24592.468464603633,25499.573249695975,12256.132866758038,11970.206862459541,332156.7011157292,329751.13431661366,0.39455,True,True,True,0.5931369662780879,0.5888413112796672,0.008057617381278748,-0.24355856913266702
2023-08-17,383,62,61,2023-11-17,540000.0,432000.0,0.0,0.0,0.0073897005603861,0.17528785296112848,74169.55505483586,71174.04518705829,55865.67873112403,55089.882880945224,309379.17525972944,311996.13234756904,0.07885,False,False,True,0.5729243986291286,0.5777706154584612,0.006909921226385229,-1.3151695795242495
2023-11-17,444,62,61,2024-02-19,432000.0,397500.0,0.0,0.0,0.0073897005603861,0.19192448382025967,25377.229841695284,28134.909618579062,18632.855710876174,18704.179317278642,273569.57246064034,314442.265951807,0.3012,True,True,True,0.6332628992144452,0.7278756156291829,0.006402109772574827,-0.4721667236316617
2024-02-19,505,60,61,2024-05-20,397500.0,372000.0,0.0,0.0,0.0073897005603861,0.17826567425013326,20456.02568018782,23336.661984430342,14327.212834029982,14226.84347768483,231587.31852516503,275991.11132449686,0.3243,True,True,True,0.5826096063526164,0.6943172611937027,0.007935662058012438,-0.4133761628064581
2024-05-20,566,61,64,2024-08-20,372000.0,330000.0,0.0,0.0,0.0073897005603861,0.17444726569287133,27679.05238187423,29034.04386267458,22395.451687693363,22929.615108486643,213288.43397531466,256461.1358916809,0.2081,False,True,True,0.5733560053099857,0.6894116556227982,0.0075024284284590514,-0.7291080193652145
2024-08-20,630,61,60,2024-11-20,330000.0,400500.0,0.0,0.0,0.0073897005603861,0.17576151521780692,42242.30768781148,39519.5252301936,34464.473767879885,33853.26823182992,194060.34133179297,233632.5269959886,0.871,False,True,True,0.5880616403993726,0.7079773545332988,0.00476076504315226,1.0595687642810798
2024-11-20,690,61,59,2025-02-20,400500.0,376500.0,0.0,0.0,0.0073897005603861,0.18303196950711859,20431.032849384457,22298.322579280022,13650.347886835807,13369.446004939673,243829.56773644057,269422.04606342077,0.33655,True,True,True,0.6088129032120864,0.6727142223805762,0.008241437637132698,-0.37799636869536596
2025-02-20,749,59,59,2025-05-20,376500.0,279500.0,0.0,0.0,0.0073897005603861,0.18229444064595765,70040.34552338181,67246.53309007805,50117.90818462317,50329.52079854044,283337.2002171146,258593.60581666016,0.0456,False,False,False,0.6027454700000724,0.6868356064187521,0.008594465788170913,-1.6747930113685046
2025-05-20,808,61,63,2025-08-20,279500.0,377500.0,0.0,0.0,0.0073897005603861,0.18727845795036205,66393.59070395418,60211.02612804805,48106.71789915135,47764.267727822094,170937.4344666779,214521.07349420834,0.9483,False,False,True,0.6115829497913341,0.7675172575821407,0.0063920007216360375,1.5654687610213351
2025-08-20,871,61,62,2025-11-20,377500.0,441000.0,0.0,0.0,0.0073897005603861,0.18997944537022923,35960.86616340882,36133.49190598192,30380.353061701695,30591.81738141144,235526.18886413978,293609.2767074088,0.80395,False,True,True,0.6239104340771915,0.7777729184302219,0.007256407620123362,0.7794769897806334
2025-11-20,933,61,60,2026-02-20,441000.0,401500.0,0.0,0.0,0.0073897005603861,0.20225964527830445,27933.8445947957,31934.00540690191,20813.98929199425,21215.58591538371,289801.70548322564,354039.8394627711,0.29,True,True,True,0.6571467244517588,0.8028114273532224,0.004825348263012508,-0.500480669196911
2026-02-20,993,60,60,2026-05-20,401500.0,384500.0,0.0,0.0,0.0073897005603861,0.19990199865935954,19364.219892890214,24129.43386246803,9954.137783321756,10175.457474754192,262673.4621016417,322035.45432503615,0.38965,True,True,True,0.6542302916603778,0.8020808326900029,0.0072435256952516625,-0.2533913884864108
2026-05-20,1053,62,62,2026-08-20,384500.0,358000.0,0.0,0.0,0.0073897005603861,0.22971144000041008,23709.87279163421,26904.07802043875,14672.025128511828,14831.000293856574,298799.8989945611,339540.8952644211,0.34995,True,True,True,0.777112871247233,0.8830712490622136,0.007396749693169502,-0.3430412656210933
