Date,Close
2026-05-05,11006.97
2026-05-06,10949.27
2026-05-07,11031.32
2026-05-10,11115.07
2026-05-11,11158.45
2026-05-12,11039.23
2026-05-13,11020.07
2026-05-14,10995.44
2026-05-17,10967.94
2026-05-18,10956.10
2026-05-19,10982.30
2026-05-20,10985.56
2026-05-21,11027.54
2026-05-31,11077.91
2026-06-01,11009.52
2026-06-02,11015.55
2026-06-03,11002.04
2026-06-04,10990.45
2026-06-07,10928.79
2026-06-08,10973.08
2026-06-09,11115.37
2026-06-10,11012.64
2026-06-11,11042.02
2026-06-14,11104.42
2026-06-15,11095.86
2026-06-16,11145.55
2026-06-17,11114.90
2026-06-18,11121.13
2026-06-21,11076.67
2026-06-22,11072.40
2026-06-23,11033.99
2026-06-24,11006.80
2026-06-25,10933.23
2026-06-28,10907.67
2026-06-29,10792.15
2026-06-30,10799.92
2026-07-01,10856.90
2026-07-02,10826.98
2026-07-05,10798.97
2026-07-06,10813.04
2026-07-07,10852.41
